ID,architecture,seed,control,fold,parameters,TierA,TierB,BioMask_provenance,gate,rank_or_bottleneck,ROI_precision,ROI_recall,ROI_f1,pooled_precision,pooled_recall,pooled_f1,Accuracy,BalancedAccuracy,semantic_precision,semantic_recall,semantic_f1,NLL,ECE15,train_f1,gap,tail_f1,zero_recall_classes,runtime_seconds,decision
A3_placebo_43,A3,43,placebo,combined_OOF,15540,False,False,none,A3,0,0.07488179669030733,0.08191489361702128,0.07631205673758865,0.39624688506358197,0.4065163684811572,0.39991532259604995,0.4166666666666667,0.4076830351478239,0.39624688506358197,0.4076830351478239,0.40038670306743046,1.7420381307601929,0.08988614882032075,0.8897426132728636,0.5013887742171754,0.4013724060401665,,0.9393438000115566,evaluate prospective rule
A3_real_17,A3,17,real,combined_OOF,15540,True,False,none,A3,0,0.07576832151300236,0.0847517730496454,0.0780614657210402,0.40737923876828763,0.40533961426214943,0.3996161096967549,0.44,0.40633961426214943,0.40737923876828763,0.40633961426214943,0.40031297380825315,1.6716458797454834,0.08265134329597154,0.8992907699430323,0.5202869078668185,0.38195649878576704,,1.048069900018163,evaluate prospective rule
A3_real_29,A3,29,real,combined_OOF,15540,True,False,none,A3,0,0.07677304964539007,0.08250591016548464,0.07780141843971633,0.41468739411280325,0.4194669458190585,0.4116346723603437,0.43,0.4204669458190585,0.4146873941128032,0.4204669458190585,0.4121897139884657,1.7066242694854736,0.11383753508329393,0.8942339715700487,0.49646200706885746,0.408002909758308,,0.9517770999809727,evaluate prospective rule
A3_real_43,A3,43,real,combined_OOF,15540,True,False,none,A3,0,0.07795508274231679,0.08498817966903074,0.07914893617021278,0.411650515176831,0.42020263925897733,0.4145808127336106,0.43333333333333335,0.42153597259231057,0.411650515176831,0.42153597259231057,0.41511953327233114,1.705477237701416,0.09531258200605709,0.8966540087396132,0.4873114014354823,0.4158872381463743,,0.9358617999823764,evaluate prospective rule
A3_shuffle_17,A3,17,shuffle,combined_OOF,15540,True,False,none,A3,0,0.07375886524822695,0.08156028368794327,0.07557919621749411,0.39391654250525215,0.38867599289430277,0.38496984258765865,0.4266666666666667,0.3898426595609694,0.3939165425052521,0.3898426595609694,0.38574503638610824,1.7095218896865845,0.08360072587927182,0.8952190804852226,0.5343777044328705,0.3732498902064119,,0.9867257000296377,evaluate prospective rule
A3_shuffle_29,A3,29,shuffle,combined_OOF,15540,True,False,none,A3,0,0.07287234042553191,0.07907801418439717,0.07420803782505911,0.401652152021213,0.4042055576703464,0.39751593051157874,0.41,0.4052055576703464,0.401652152021213,0.4052055576703464,0.3980956406565063,1.7553644180297852,0.12918005178372063,0.8829406208572781,0.4982447700377232,0.39263995891114534,,0.9678487000055611,evaluate prospective rule
A3_shuffle_43,A3,43,shuffle,combined_OOF,15540,True,False,none,A3,0,0.07488179669030733,0.08191489361702128,0.07631205673758865,0.39817789009236376,0.4065163684811572,0.4006237893386658,0.4166666666666667,0.4076830351478239,0.3981778900923637,0.4076830351478239,0.40106238582989384,1.7406034469604492,0.08944637139638265,0.8869620917327721,0.49723150867272087,0.40264614051267233,,0.9394533999729902,evaluate prospective rule
A4_placebo_17,A4,17,placebo,combined_OOF,15533,False,False,none,A4,0,0.07411347517730496,0.08262411347517731,0.07628841607565012,0.3985541268467055,0.3941369115594468,0.3890138774921384,0.43,0.3953035782261134,0.39855412684670544,0.3953035782261134,0.3898268856222197,1.7085574865341187,0.08980382313330967,0.8968786051388836,0.5290040832214219,0.37529437688504497,,1.016281300020637,evaluate prospective rule
A4_placebo_29,A4,29,placebo,combined_OOF,15533,False,False,none,A4,0,0.07358156028368794,0.0797872340425532,0.07491725768321514,0.39997286688970257,0.40285579241213043,0.39641774034945987,0.41333333333333333,0.4038557924121305,0.39997286688970257,0.4038557924121305,0.3969974504943874,1.748081088066101,0.1350578421354294,0.8885207595764341,0.5040370161055783,0.3949442397355283,,1.071909200050868,evaluate prospective rule
A4_placebo_43,A4,43,placebo,combined_OOF,15533,False,False,none,A4,0,0.07488179669030733,0.08191489361702128,0.07631205673758865,0.39624688506358197,0.4065163684811572,0.39991532259604995,0.4166666666666667,0.4076830351478239,0.39624688506358197,0.4076830351478239,0.40038670306743046,1.742039442062378,0.08991048360864319,0.8897426132728636,0.5013887742171754,0.4013724060401665,,0.9870208000065759,evaluate prospective rule
A4_real_17,A4,17,real,combined_OOF,15533,True,False,none,A4,0,0.07576832151300236,0.0847517730496454,0.0780614657210402,0.40737923876828763,0.40533961426214943,0.3996161096967549,0.44,0.40633961426214943,0.40737923876828763,0.40633961426214943,0.40031297380825315,1.6708627939224243,0.08267469853162765,0.8992907699430323,0.5202869078668185,0.38195649878576704,,0.9745044000155758,evaluate prospective rule
A4_real_29,A4,29,real,combined_OOF,15533,True,False,none,A4,0,0.07677304964539007,0.08250591016548464,0.07780141843971633,0.41468739411280325,0.4194669458190585,0.4116346723603437,0.43,0.4204669458190585,0.4146873941128032,0.4204669458190585,0.4121897139884657,1.7057801485061646,0.11387716059883435,0.8942339715700487,0.49646200706885746,0.408002909758308,,0.978402599983383,evaluate prospective rule
A4_real_43,A4,43,real,combined_OOF,15533,True,False,none,A4,0,0.07795508274231679,0.08498817966903074,0.07914893617021278,0.411650515176831,0.42020263925897733,0.4145808127336106,0.43333333333333335,0.42153597259231057,0.411650515176831,0.42153597259231057,0.41511953327233114,1.70472252368927,0.09220292583107949,0.8984444631616465,0.4891018558575157,0.4158872381463743,,0.9820727999904193,evaluate prospective rule
A4_shuffle_17,A4,17,shuffle,combined_OOF,15533,True,False,none,A4,0,0.07375886524822695,0.08156028368794327,0.07557919621749411,0.39391654250525215,0.38867599289430277,0.38496984258765865,0.4266666666666667,0.3898426595609694,0.3939165425052521,0.3898426595609694,0.38574503638610824,1.7095609903335571,0.08358686705430349,0.8952190804852226,0.5343777044328705,0.3732498902064119,,1.0937517000129446,evaluate prospective rule
A4_shuffle_29,A4,29,shuffle,combined_OOF,15533,True,False,none,A4,0,0.07287234042553191,0.07907801418439717,0.07420803782505911,0.4018226065666675,0.4042055576703464,0.39752162656990636,0.41,0.4052055576703464,0.4018226065666676,0.4052055576703464,0.39810133671483394,1.7555936574935913,0.1292078271508217,0.8829406208572781,0.4983434368030566,0.3917627659286892,,0.988762199995108,evaluate prospective rule
A4_shuffle_43,A4,43,shuffle,combined_OOF,15533,True,False,none,A4,0,0.07488179669030733,0.08191489361702128,0.07631205673758865,0.39817789009236376,0.4065163684811572,0.4006237893386658,0.4166666666666667,0.4076830351478239,0.3981778900923637,0.4076830351478239,0.40106238582989384,1.7406225204467773,0.0894345024228096,0.8869620917327721,0.49723150867272087,0.40264614051267233,,0.9864406999549828,evaluate prospective rule
A5_placebo_17,A5,17,placebo,combined_OOF,27866,False,False,none,none,8,0.07529550827423168,0.0826241134751773,0.07711583924349882,0.40374182047556656,0.4025782261134374,0.3967623524255513,0.43,0.4035782261134374,0.40374182047556656,0.4035782261134374,0.3974592165370495,1.7271604537963867,0.10200836256146432,0.9119774248122257,0.5333439764481759,0.38020121204884016,,1.0686150999972597,evaluate prospective rule
A5_placebo_29,A5,29,placebo,combined_OOF,27866,False,False,none,none,8,0.07003546099290779,0.07695035460992908,0.07186761229314421,0.3852624445864011,0.37892786448420257,0.3769721965301201,0.39666666666666667,0.38009453115086916,0.385262444586401,0.38009453115086916,0.3775212161379632,1.8049604892730713,0.12179421842098234,0.8970517095973322,0.5317970188567784,0.3443249980154005,,0.9794779999938328,evaluate prospective rule
A5_placebo_43,A5,43,placebo,combined_OOF,27866,False,False,none,none,8,0.06572104018912531,0.07446808510638298,0.06808510638297872,0.36512586768845356,0.36924159370638243,0.3652251757436328,0.38333333333333336,0.370408260373049,0.36512586768845356,0.370408260373049,0.36567972119817815,1.7952364683151245,0.12772883554299674,0.8957768232438451,0.5507334113664376,0.35475206181961844,,0.9854287999623921,evaluate prospective rule
A5_real_17,A5,17,real,combined_OOF,27866,True,False,none,none,8,0.08498817966903072,0.09066193853427897,0.08602836879432625,0.4421328877147291,0.44142811825910416,0.43428442389334776,0.4666666666666667,0.44226145159243746,0.44213288771472914,0.44226145159243746,0.4348381337493832,1.5907955169677734,0.10177652190128962,0.9117432456275069,0.4907534254026109,0.41082447844611647,,0.9828464000311214,evaluate prospective rule
A5_real_29,A5,29,real,combined_OOF,27866,True,False,none,none,8,0.07884160756501182,0.08569739952718676,0.08035460992907803,0.4256561865543559,0.4296080446643827,0.4216664411139238,0.44333333333333336,0.43110804466438274,0.4256561865543559,0.43110804466438274,0.42243174723637267,1.5952727794647217,0.11124763270219168,0.90228065037714,0.4989163173458966,0.42123257010663434,,0.9796716999844648,evaluate prospective rule
A5_real_43,A5,43,real,combined_OOF,27866,True,False,none,none,8,0.08486997635933806,0.08995271867612294,0.08591016548463357,0.44981835902888534,0.44205265829209495,0.44111467563695095,0.4666666666666667,0.44338599162542824,0.44981835902888534,0.44338599162542824,0.44171799388732796,1.612762451171875,0.1022884581486384,0.9144797138652573,0.48180798519017914,0.41857180667030186,,1.021987199987052,evaluate prospective rule
A5_shuffle_17,A5,17,shuffle,combined_OOF,27866,True,False,none,none,8,0.07393617021276595,0.0806146572104019,0.07529550827423168,0.3796232707276421,0.38191777693186146,0.37488727333156396,0.42333333333333334,0.3829177769318614,0.3796232707276421,0.3829177769318614,0.3755215228030228,1.7544760704040527,0.1344644061724345,0.917991199506238,0.5648961777261373,0.3424457769494639,,0.9849334999744315,evaluate prospective rule
A5_shuffle_29,A5,29,shuffle,combined_OOF,27866,True,False,none,none,8,0.06962174940898345,0.07647754137115838,0.07099290780141844,0.3761918673002264,0.37514699911178784,0.3709523985049601,0.39,0.3758136657784545,0.37619186730022636,0.3758136657784545,0.3712925345593819,1.8373173475265503,0.15093499074379602,0.898261495751869,0.5422142589888722,0.3345537167991057,,0.9932792999607045,evaluate prospective rule
