architecture,control,seed,class,support,positive_ROIs,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_conditional_accuracy,dominant_FN,dominant_FP,TP,FP,FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1,recall_delta_vs_A1,F1_delta_vs_A1
A6,placebo,29,stroma,24,24,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.8733333333333333,0.42,plasma_cell,endothelium,8,22,16,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.04964539007092199,0.05673758865248227,0.05200945626477541,0.04166666666666663,0.02178649237472763
A6,placebo,29,epithelium,24,24,0.625,0.625,0.625,0.94,0.42,tumor,tumor,15,9,9,0.625,0.625,0.625,0.10283687943262411,0.10638297872340426,0.10401891252955084,0.04166666666666663,0.04166666666666663
A6,placebo,29,endothelium,24,24,0.3333333333333333,0.25,0.2857142857142857,0.9,0.42,stroma,histiocyte,6,12,18,0.3333333333333333,0.25,0.28571428571428575,0.031914893617021274,0.0425531914893617,0.03546099290780142,0.04166666666666666,0.02930402930402931
A6,placebo,29,apoptosis,24,23,0.21052631578947367,0.16666666666666666,0.18604651162790697,0.8833333333333333,0.42,tumor,tumor,4,15,21,0.21052631578947367,0.16,0.1818181818181818,0.028368794326241134,0.028368794326241134,0.028368794326241134,-0.08333333333333334,-0.08668076109936573
A6,placebo,43,tumor,71,57,0.5,0.4084507042253521,0.4496124031007752,0.7633333333333333,0.38666666666666666,epithelium,epithelium,29,29,42,0.5,0.4084507042253521,0.4496124031007752,0.17375886524822695,0.17139479905437352,0.16879432624113475,-0.07042253521126757,-0.05409130060292844
A6,placebo,43,lymphocyte,37,32,0.41025641025641024,0.43243243243243246,0.42105263157894735,0.8533333333333334,0.38666666666666666,histiocyte,histiocyte,16,23,21,0.41025641025641024,0.43243243243243246,0.42105263157894735,0.0768321513002364,0.09219858156028368,0.08226950354609928,-0.05405405405405406,-0.04647983595352018
A6,placebo,43,plasma_cell,24,22,0.3684210526315789,0.2916666666666667,0.32558139534883723,0.9033333333333333,0.38666666666666666,tumor,tumor,7,12,17,0.3684210526315789,0.2916666666666667,0.32558139534883723,0.026004728132387706,0.03546099290780142,0.029314420803782503,0.0,0.0
A6,placebo,43,histiocyte,24,23,0.15789473684210525,0.125,0.13953488372093023,0.8766666666666667,0.38666666666666666,lymphocyte,lymphocyte,3,16,21,0.15789473684210525,0.125,0.13953488372093023,0.02127659574468085,0.02127659574468085,0.02127659574468085,-0.04166666666666666,-0.04228329809725159
A6,placebo,43,melanophage,24,24,0.6071428571428571,0.7083333333333334,0.6538461538461539,0.94,0.38666666666666666,tumor,tumor,17,11,7,0.6071428571428571,0.7083333333333334,0.6538461538461539,0.11347517730496454,0.12056737588652482,0.11583924349881795,0.0,-0.012820512820512775
A6,placebo,43,neutrophil,24,24,0.47368421052631576,0.375,0.4186046511627907,0.9166666666666666,0.38666666666666666,endothelium,apoptosis,9,10,15,0.47368421052631576,0.375,0.4186046511627907,0.05200945626477541,0.06382978723404255,0.05555555555555555,-0.29166666666666663,-0.2480620155038759
A6,placebo,43,stroma,24,24,0.19444444444444445,0.2916666666666667,0.23333333333333334,0.8466666666666667,0.38666666666666666,lymphocyte,histiocyte,7,29,17,0.19444444444444445,0.2916666666666667,0.2333333333333333,0.0425531914893617,0.04964539007092199,0.044917257683215125,0.0,-0.04666666666666669
