id,class,support,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_accuracy,V17_TP,V17_FP,V17_FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1
p3_B4_real_s17_cv2,neutrophil,8,1.0,0.75,0.8571428571428571,0.9797979797979798,0.5151515151515151,6,0,2,1.0,0.75,0.8571428571428571,0.1276595744680851,0.1276595744680851,0.1276595744680851
p3_B4_real_s17_cv2,stroma,10,0.5,0.2,0.2857142857142857,0.898989898989899,0.5151515151515151,2,2,8,0.5,0.2,0.28571428571428575,0.031914893617021274,0.0425531914893617,0.035460992907801414
p3_B4_real_s17_cv2,epithelium,5,0.6,0.6,0.6,0.9595959595959596,0.5151515151515151,3,2,2,0.6,0.6,0.6,0.06382978723404255,0.06382978723404255,0.06382978723404255
p3_B4_real_s17_cv2,endothelium,7,0.3333333333333333,0.8571428571428571,0.48,0.8686868686868687,0.5151515151515151,6,12,1,0.3333333333333333,0.8571428571428571,0.48,0.08156028368794327,0.1276595744680851,0.09574468085106383
p3_B4_real_s17_cv2,apoptosis,8,0.5,0.375,0.42857142857142855,0.9191919191919192,0.5151515151515151,3,3,6,0.5,0.3333333333333333,0.4,0.06382978723404255,0.06382978723404255,0.06382978723404255
p3_B4_real_s29_cv0,tumor,19,0.5882352941176471,0.5263157894736842,0.5555555555555556,0.8260869565217391,0.41304347826086957,10,7,9,0.5882352941176471,0.5263157894736842,0.5555555555555555,0.21739130434782608,0.1956521739130435,0.20289855072463767
p3_B4_real_s29_cv0,lymphocyte,13,0.5,0.07692307692307693,0.13333333333333333,0.8586956521739131,0.41304347826086957,1,1,12,0.5,0.07692307692307693,0.13333333333333336,0.021739130434782608,0.021739130434782608,0.021739130434782608
p3_B4_real_s29_cv0,plasma_cell,11,0.3125,0.45454545454545453,0.37037037037037035,0.8152173913043478,0.41304347826086957,5,11,6,0.3125,0.45454545454545453,0.3703703703703703,0.06340579710144927,0.08695652173913043,0.06956521739130435
p3_B4_real_s29_cv0,histiocyte,7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9130434782608695,0.41304347826086957,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.05434782608695652,0.06521739130434782,0.05797101449275362
p3_B4_real_s29_cv0,melanophage,7,0.4375,1.0,0.6086956521739131,0.9021739130434783,0.41304347826086957,7,9,0,0.4375,1.0,0.6086956521739131,0.11594202898550726,0.15217391304347827,0.12681159420289853
p3_B4_real_s29_cv0,neutrophil,5,0.4,0.4,0.4,0.9347826086956522,0.41304347826086957,2,3,3,0.4,0.4,0.4000000000000001,0.03260869565217391,0.043478260869565216,0.03623188405797101
p3_B4_real_s29_cv0,stroma,6,0.125,0.16666666666666666,0.14285714285714285,0.8695652173913043,0.41304347826086957,1,7,5,0.125,0.16666666666666666,0.14285714285714288,0.021739130434782608,0.021739130434782608,0.021739130434782608
p3_B4_real_s29_cv0,epithelium,12,0.6666666666666666,0.5,0.5714285714285714,0.9021739130434783,0.41304347826086957,6,3,6,0.6666666666666666,0.5,0.5714285714285715,0.11956521739130435,0.13043478260869565,0.12318840579710144
p3_B4_real_s29_cv0,endothelium,8,1.0,0.125,0.2222222222222222,0.9239130434782609,0.41304347826086957,1,0,7,1.0,0.125,0.2222222222222222,0.021739130434782608,0.021739130434782608,0.021739130434782608
p3_B4_real_s29_cv0,apoptosis,4,0.18181818181818182,0.5,0.26666666666666666,0.8804347826086957,0.41304347826086957,2,9,2,0.18181818181818182,0.5,0.26666666666666666,0.043478260869565216,0.043478260869565216,0.043478260869565216
p3_B4_real_s29_cv1,tumor,28,0.5652173913043478,0.4642857142857143,0.5098039215686274,0.7706422018348624,0.3944954128440367,13,10,15,0.5652173913043478,0.4642857142857143,0.5098039215686274,0.2152777777777778,0.21875,0.21180555555555555
p3_B4_real_s29_cv1,lymphocyte,6,0.15384615384615385,0.3333333333333333,0.21052631578947367,0.8623853211009175,0.3944954128440367,2,11,4,0.15384615384615385,0.3333333333333333,0.21052631578947367,0.027777777777777776,0.041666666666666664,0.03125
p3_B4_real_s29_cv1,plasma_cell,6,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.8990825688073395,0.3944954128440367,2,7,4,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.03125,0.041666666666666664,0.03472222222222222
p3_B4_real_s29_cv1,histiocyte,10,0.1111111111111111,0.2,0.14285714285714285,0.7798165137614679,0.3944954128440367,2,16,8,0.1111111111111111,0.2,0.14285714285714285,0.03125,0.041666666666666664,0.03472222222222222
p3_B4_real_s29_cv1,melanophage,12,0.6,0.5,0.5454545454545454,0.908256880733945,0.3944954128440367,6,4,6,0.6,0.5,0.5454545454545454,0.11458333333333333,0.125,0.11805555555555554
p3_B4_real_s29_cv1,neutrophil,11,0.6666666666666666,0.5454545454545454,0.6,0.926605504587156,0.3944954128440367,6,3,5,0.6666666666666666,0.5454545454545454,0.6,0.11458333333333333,0.125,0.11805555555555557
p3_B4_real_s29_cv1,stroma,8,0.25,0.25,0.25,0.8899082568807339,0.3944954128440367,2,6,6,0.25,0.25,0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664
p3_B4_real_s29_cv1,epithelium,7,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.926605504587156,0.3944954128440367,5,6,2,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.10416666666666667,0.10416666666666667,0.10416666666666667
p3_B4_real_s29_cv1,endothelium,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.926605504587156,0.3944954128440367,2,1,7,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664
p3_B4_real_s29_cv1,apoptosis,12,0.6,0.25,0.35294117647058826,0.8990825688073395,0.3944954128440367,3,2,9,0.6,0.25,0.35294117647058826,0.052083333333333336,0.052083333333333336,0.048611111111111105
p3_B4_real_s29_cv2,tumor,24,0.6818181818181818,0.625,0.6521739130434783,0.8383838383838383,0.5353535353535354,15,7,9,0.6818181818181818,0.625,0.6521739130434783,0.2765957446808511,0.26595744680851063,0.2695035460992908
p3_B4_real_s29_cv2,lymphocyte,18,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.8484848484848485,0.5353535353535354,11,8,7,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.12411347517730496,0.15602836879432624,0.1347517730496454
p3_B4_real_s29_cv2,plasma_cell,7,0.6666666666666666,0.2857142857142857,0.4,0.9393939393939394,0.5353535353535354,2,1,5,0.6666666666666666,0.2857142857142857,0.4,0.02127659574468085,0.02127659574468085,0.02127659574468085
p3_B4_real_s29_cv2,histiocyte,7,0.2,0.2857142857142857,0.23529411764705882,0.8686868686868687,0.5353535353535354,2,8,5,0.2,0.2857142857142857,0.23529411764705882,0.026595744680851064,0.0425531914893617,0.02978723404255319
p3_B4_real_s29_cv2,melanophage,5,0.5,0.8,0.6153846153846154,0.9494949494949495,0.5353535353535354,4,4,1,0.5,0.8,0.6153846153846154,0.07446808510638298,0.0851063829787234,0.07801418439716312
p3_B4_real_s29_cv2,neutrophil,8,0.7142857142857143,0.625,0.6666666666666666,0.9494949494949495,0.5353535353535354,5,2,3,0.7142857142857143,0.625,0.6666666666666666,0.0851063829787234,0.10638297872340426,0.09219858156028368
p3_B4_real_s29_cv2,stroma,10,0.5555555555555556,0.5,0.5263157894736842,0.9090909090909091,0.5353535353535354,5,4,5,0.5555555555555556,0.5,0.5263157894736842,0.10638297872340426,0.10638297872340426,0.10638297872340426
p3_B4_real_s29_cv2,epithelium,5,0.6,0.6,0.6,0.9595959595959596,0.5353535353535354,3,2,2,0.6,0.6,0.6,0.05319148936170213,0.06382978723404255,0.05673758865248227
p3_B4_real_s29_cv2,endothelium,7,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.898989898989899,0.5353535353535354,4,7,3,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.06382978723404255,0.0851063829787234,0.07092198581560283
p3_B4_real_s29_cv2,apoptosis,8,0.4,0.25,0.3076923076923077,0.9090909090909091,0.5353535353535354,2,3,7,0.4,0.2222222222222222,0.2857142857142857,0.0425531914893617,0.0425531914893617,0.0425531914893617
p3_B4_real_s43_cv0,tumor,19,0.43333333333333335,0.6842105263157895,0.5306122448979592,0.75,0.4673913043478261,13,17,6,0.43333333333333335,0.6842105263157895,0.5306122448979592,0.25,0.2608695652173913,0.2463768115942029
p3_B4_real_s43_cv0,lymphocyte,13,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.8478260869565217,0.4673913043478261,8,9,5,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.15217391304347827,0.17391304347826086,0.15942028985507245
p3_B4_real_s43_cv0,plasma_cell,11,0.75,0.2727272727272727,0.4,0.9021739130434783,0.4673913043478261,3,1,8,0.75,0.2727272727272727,0.39999999999999997,0.03623188405797101,0.043478260869565216,0.0391304347826087
p3_B4_real_s43_cv0,histiocyte,7,0.5,0.2857142857142857,0.36363636363636365,0.9239130434782609,0.4673913043478261,2,2,5,0.5,0.2857142857142857,0.36363636363636365,0.043478260869565216,0.043478260869565216,0.043478260869565216
