model,seed,class,support,positive_ROIs,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_accuracy,ROI_P,ROI_R,ROI_F1,pooled_P,pooled_R,pooled_F1,TP,FP,FN,dominant_FN,dominant_FP
A5,17,plasma_cell,12,12,0.4375,0.5833333333333334,0.5,0.9066666666666666,0.6066666666666667,0.1375,0.175,0.15,0.4375,0.5833333333333334,0.5,7,9,5,melanophage,lymphocyte
A5,17,histiocyte,12,9,0.5,0.16666666666666666,0.25,0.92,0.6066666666666667,0.05,0.025,0.03333333333333333,0.5,0.16666666666666666,0.25,2,2,10,tumor,tumor
A5,17,melanophage,12,10,0.45,0.75,0.5625,0.9066666666666666,0.6066666666666667,0.14583333333333331,0.175,0.15416666666666665,0.45,0.75,0.5625000000000001,9,11,3,tumor,plasma_cell
A5,17,neutrophil,12,4,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9733333333333334,0.6066666666666667,0.0725,0.0725,0.0725,0.7857142857142857,0.8461538461538461,0.8148148148148148,11,3,2,tumor,stroma
A5,17,stroma,12,12,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9466666666666667,0.6066666666666667,0.125,0.125,0.125,0.8333333333333334,0.4166666666666667,0.5555555555555556,5,1,7,lymphocyte,plasma_cell
A5,17,epithelium,12,5,0.7692307692307693,0.8333333333333334,0.8,0.9666666666666667,0.6066666666666667,0.075,0.075,0.075,0.7692307692307693,0.8333333333333334,0.8,10,3,2,plasma_cell,tumor
A5,17,endothelium,12,12,0.75,0.5,0.6,0.9466666666666667,0.6066666666666667,0.1375,0.15,0.14166666666666666,0.75,0.5,0.6,6,2,6,melanophage,histiocyte
A5,17,apoptosis,12,12,0.5,0.3333333333333333,0.4,0.92,0.6066666666666667,0.1,0.1,0.1,0.5,0.3333333333333333,0.4,4,4,8,tumor,tumor
A1,29,tumor,39,26,0.6046511627906976,0.6666666666666666,0.6341463414634146,0.8,0.56,0.35625,0.41875,0.37708333333333327,0.6046511627906976,0.6666666666666666,0.6341463414634145,26,17,13,stroma,apoptosis
A1,29,lymphocyte,15,13,0.4166666666666667,0.3333333333333333,0.37037037037037035,0.8866666666666667,0.56,0.075,0.1125,0.0875,0.4166666666666667,0.3333333333333333,0.3703703703703704,5,7,10,tumor,histiocyte
A1,29,plasma_cell,12,12,0.5,0.5,0.5,0.92,0.56,0.125,0.15,0.13333333333333333,0.5,0.5,0.5,6,6,6,melanophage,lymphocyte
A1,29,histiocyte,12,9,0.0,0.0,0.0,0.9133333333333333,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0,1,12,tumor,endothelium
A1,29,melanophage,12,10,0.391304347826087,0.75,0.5142857142857142,0.8866666666666667,0.56,0.12916666666666668,0.175,0.14166666666666666,0.391304347826087,0.75,0.5142857142857143,9,14,3,stroma,lymphocyte
