group_type,group,n,dice_mean,dice_median,dice_finite_n,iou_mean,iou_median,iou_finite_n,area_relative_error_mean,area_relative_error_median,area_relative_error_finite_n,centroid_error_mean,centroid_error_median,centroid_error_finite_n,occupancy_mean,occupancy_median,occupancy_finite_n,quality_confidence_mean,quality_confidence_median,quality_confidence_finite_n,presence_confidence_mean,presence_confidence_median,presence_confidence_finite_n,area_pearson,major_pearson,minor_pearson,eccentricity_pearson,perimeter_pearson,circularity_pearson,confidence_vs_iou_pearson
by_roi,training_set_metastatic_roi_051,1,0.699724517906336,0.699724517906336,1,0.538135593220339,0.538135593220339,1,0.8582677165354331,0.8582677165354331,1,0.7581401327734737,0.7581401327734737,1,0.025607638888888888,0.025607638888888888,1,0.8631525635719299,0.8631525635719299,1,0.9978037476539612,0.9978037476539612,1,,,,,,,
by_roi,training_set_metastatic_roi_052,4,0.9121550261395817,0.9021142109851787,4,0.8404194434219475,0.8220522911753216,4,0.15114263459286567,0.131081708660772,4,0.9388256063529468,0.9591078557450234,4,0.1366916232638889,0.05582682291666667,4,0.8377398550510406,0.852328360080719,4,0.9724839478731155,0.9731788039207458,4,0.9996739777633504,0.9992475012656722,0.9970621817004006,0.7625369184321483,0.9988218108297852,0.9795114681725253,-0.7244274951031724
by_roi,training_set_metastatic_roi_053,1,0.7538556446637877,0.7538556446637877,1,0.6049504950495049,0.6049504950495049,1,0.39345887016848363,0.39345887016848363,1,3.8462657549853905,3.8462657549853905,1,0.06640625,0.06640625,1,0.8822757601737976,0.8822757601737976,1,0.9992654919624329,0.9992654919624329,1,,,,,,,
by_roi,training_set_metastatic_roi_054,1,0.8770571151984511,0.8770571151984511,1,0.7810344827586206,0.7810344827586206,1,0.2803532008830022,0.2803532008830022,1,0.5216736193963918,0.5216736193963918,1,0.06293402777777778,0.06293402777777778,1,0.8932954668998718,0.8932954668998718,1,0.9992995262145996,0.9992995262145996,1,,,,,,,
by_roi,training_set_metastatic_roi_055,5,0.946163386124345,0.9681528662420382,5,0.8997724113966283,0.9382716049382716,5,0.10239766373373475,0.06172839506172839,5,0.3939118321954278,0.2225762984653243,5,0.04071180555555556,0.037651909722222224,5,0.8762368798255921,0.882743775844574,5,0.9988808989524841,0.9995624423027039,5,0.9787467238319864,0.9307680590052115,0.9886118911208861,0.8965472881188616,0.9524182588395448,0.9489677425419112,0.8699363760202447
by_roi,training_set_metastatic_roi_056,4,0.6563357007780021,0.8403586979729424,4,0.5869897905791538,0.7264487169607767,4,0.3578762812954563,0.21250580934415922,4,1.2947983223712536,1.1336360438180033,3,0.025851779513888888,0.0146484375,4,0.6951354369521141,0.7329210638999939,4,0.7133632972836494,0.8465657234191895,4,0.9506711374584367,0.9245754704531317,0.2127448911694952,0.7056009480356524,0.8642180064273618,-0.1934229562809342,0.9347644491250477
by_roi,training_set_metastatic_roi_057,3,0.8604031701286182,0.9037037037037037,3,0.7675943270002676,0.8243243243243243,3,0.1616838543150407,0.21311475409836064,3,2.769997285331996,0.6486544801921071,3,0.03439670138888889,0.03602430555555555,3,0.8242735266685486,0.8220909833908081,3,0.9949028491973877,0.9987849593162537,3,0.8457150786892178,0.24582586356386987,0.9849427198879476,0.2593572193731939,0.3957111746338873,0.15091806999178384,0.8080174837150754
by_roi,training_set_metastatic_roi_058,2,0.9744124195942603,0.9744124195942603,2,0.9501917060663797,0.9501917060663797,2,0.04849865047233468,0.04849865047233468,2,0.3065563289045105,0.3065563289045105,2,0.07150607638888888,0.07150607638888888,2,0.9083483219146729,0.9083483219146729,2,0.9998876452445984,0.9998876452445984,2,,,,,,,
by_roi,training_set_metastatic_roi_059,2,0.7981688311688312,0.7981688311688312,2,0.685659119473943,0.685659119473943,2,0.32309099602918856,0.32309099602918856,2,0.7726868965533169,0.7726868965533169,2,0.031684027777777776,0.031684027777777776,2,0.8000315427780151,0.8000315427780151,2,0.5922403857111931,0.5922403857111931,2,,,,,,,
by_roi,training_set_metastatic_roi_060,1,0.8583333333333333,0.8583333333333333,1,0.7518248175182481,0.7518248175182481,1,0.11023622047244094,0.11023622047244094,1,2.3645042070067,2.3645042070067,1,0.024522569444444444,0.024522569444444444,1,0.7272771596908569,0.7272771596908569,1,0.9207650423049927,0.9207650423049927,1,,,,,,,
