family,seed,class,support,predicted_count,precision,recall,f1,ROI_F1,TP,FP,FN,f1_score
A2,17,stroma,24,30,0.36666666666666664,0.4583333333333333,0.4074074074074074,0.07328605200945627,11,19,13,0.4074074074074074
A2,17,epithelium,24,24,0.625,0.625,0.625,0.10401891252955084,15,9,9,0.625
A2,17,endothelium,24,24,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0756501182033097,11,13,13,0.4583333333333333
A2,17,apoptosis,24,18,0.6111111111111112,0.44,0.5238095238095238,0.07565011820330969,11,7,14,0.5116279069767442
A2,29,tumor,71,62,0.6774193548387096,0.5915492957746479,0.631578947368421,0.24326241134751775,42,20,29,0.631578947368421
A2,29,lymphocyte,37,50,0.54,0.7297297297297297,0.6206896551724138,0.14650455927051673,27,23,10,0.6206896551724138
A2,29,plasma_cell,24,22,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.0718676122931442,13,9,11,0.5652173913043478
A2,29,histiocyte,24,30,0.3333333333333333,0.4166666666666667,0.37037037037037035,0.06619385342789598,10,20,14,0.3703703703703704
A2,29,melanophage,24,27,0.6666666666666666,0.75,0.7058823529411765,0.12293144208037825,18,9,6,0.7058823529411765
A2,29,neutrophil,24,20,0.8,0.6666666666666666,0.7272727272727273,0.11347517730496454,16,4,8,0.7272727272727272
A2,29,stroma,24,27,0.4074074074074074,0.4583333333333333,0.43137254901960786,0.07565011820330969,11,16,13,0.4313725490196078
A2,29,epithelium,24,19,0.6842105263157895,0.5416666666666666,0.6046511627906976,0.09219858156028368,13,6,11,0.6046511627906976
A2,29,endothelium,24,17,0.5294117647058824,0.375,0.43902439024390244,0.06382978723404255,9,8,15,0.4390243902439025
A2,29,apoptosis,24,26,0.5384615384615384,0.56,0.56,0.09219858156028368,14,12,11,0.5490196078431373
A2,43,tumor,71,65,0.6923076923076923,0.6338028169014085,0.6617647058823529,0.26241134751773054,45,20,26,0.661764705882353
A2,43,lymphocyte,37,46,0.4782608695652174,0.5945945945945946,0.5301204819277109,0.11442080378250591,22,24,15,0.5301204819277109
A2,43,plasma_cell,24,22,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.052955082742316785,10,12,14,0.43478260869565216
A2,43,histiocyte,24,27,0.37037037037037035,0.4166666666666667,0.39215686274509803,0.06619385342789598,10,17,14,0.39215686274509803
A2,43,melanophage,24,24,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.11583924349881795,17,7,7,0.7083333333333334
A2,43,neutrophil,24,18,0.8333333333333334,0.625,0.7142857142857143,0.10638297872340426,15,3,9,0.7142857142857143
A2,43,stroma,24,30,0.4,0.5,0.4444444444444444,0.08037825059101654,12,18,12,0.4444444444444445
A2,43,epithelium,24,27,0.5925925925925926,0.6666666666666666,0.6274509803921569,0.11347517730496454,16,11,8,0.627450980392157
A2,43,endothelium,24,20,0.55,0.4583333333333333,0.5,0.0756501182033097,11,9,13,0.5
A2,43,apoptosis,24,21,0.47619047619047616,0.4,0.4444444444444444,0.06619385342789598,10,11,15,0.43478260869565216
A2_broken,17,tumor,71,78,0.5128205128205128,0.5633802816901409,0.5369127516778524,0.22931442080378253,40,38,31,0.5369127516778522
A2_broken,17,lymphocyte,37,39,0.4358974358974359,0.4594594594594595,0.4473684210526316,0.09314420803782505,17,22,20,0.4473684210526316
A2_broken,17,plasma_cell,24,25,0.2,0.20833333333333334,0.20408163265306123,0.016312056737588652,5,20,19,0.20408163265306126
A2_broken,17,histiocyte,24,17,0.35294117647058826,0.25,0.2926829268292683,0.0425531914893617,6,11,18,0.2926829268292683
A2_broken,17,melanophage,24,18,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.05200945626477541,8,10,16,0.380952380952381
A2_broken,17,neutrophil,24,22,0.5,0.4583333333333333,0.4782608695652174,0.07210401891252954,11,11,13,0.4782608695652174
A2_broken,17,stroma,24,24,0.125,0.125,0.125,0.02127659574468085,3,21,21,0.125
A2_broken,17,epithelium,24,21,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.0756501182033097,11,10,13,0.4888888888888889
A2_broken,17,endothelium,24,36,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.04964539007092199,8,28,16,0.26666666666666666
A2_broken,17,apoptosis,24,20,0.3,0.24,0.2727272727272727,0.037825059101654845,6,14,19,0.2666666666666666
A2_broken,29,tumor,71,71,0.5070422535211268,0.5070422535211268,0.5070422535211268,0.2104018912529551,36,35,35,0.5070422535211268
A2_broken,29,lymphocyte,37,40,0.45,0.4864864864864865,0.4675324675324675,0.09550827423167847,18,22,19,0.4675324675324675
A2_broken,29,plasma_cell,24,18,0.3333333333333333,0.25,0.2857142857142857,0.02458628841607565,6,12,18,0.28571428571428575
A2_broken,29,histiocyte,24,29,0.27586206896551724,0.3333333333333333,0.3018867924528302,0.054373522458628844,8,21,16,0.3018867924528302
A2_broken,29,melanophage,24,22,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.05200945626477541,8,14,16,0.34782608695652173
A2_broken,29,neutrophil,24,21,0.42857142857142855,0.375,0.4,0.059101654846335686,9,12,15,0.39999999999999997
A2_broken,29,stroma,24,26,0.19230769230769232,0.20833333333333334,0.2,0.03546099290780142,5,21,19,0.2
A2_broken,29,epithelium,24,26,0.46153846153846156,0.5,0.48,0.08274231678486998,12,14,12,0.48000000000000004
A2_broken,29,endothelium,24,20,0.25,0.20833333333333334,0.22727272727272727,0.03309692671394799,5,15,19,0.22727272727272727
A2_broken,29,apoptosis,24,27,0.2962962962962963,0.32,0.3137254901960784,0.05200945626477541,8,19,17,0.30769230769230765
A2_broken,43,tumor,71,69,0.5362318840579711,0.5211267605633803,0.5285714285714286,0.2163120567375887,37,32,34,0.5285714285714286
A2_broken,43,lymphocyte,37,46,0.3695652173913043,0.4594594594594595,0.40963855421686746,0.09219858156028368,17,29,20,0.4096385542168674
A2_broken,43,plasma_cell,24,24,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.02813238770685579,7,17,17,0.2916666666666667
A2_broken,43,histiocyte,24,25,0.32,0.3333333333333333,0.32653061224489793,0.04728132387706856,8,17,16,0.32653061224489793
