source,epoch,field,recorded_value,status
history_compact.csv,12,val.loss.total,1.1879641079361734,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,12,val.semantic_final.macro_f1,0.4150906781691567,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,12,val.puma.macro_f1,0.2597300911641005,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,12,val.puma_summed.macro_f1,0.3839780395442936,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,13,epoch,13,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,13,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,13,train_diagnostics.loss,0.2434348335781065,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,13,val.loss.total,1.2165197704474964,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,13,val.semantic_final.macro_f1,0.4271518915338113,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,13,val.puma.macro_f1,0.2658417571320078,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,13,val.puma_summed.macro_f1,0.393371895107799,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,14,epoch,14,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,14,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,14,train_diagnostics.loss,0.2196376489690777,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,14,val.loss.total,1.2763681286084507,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,14,val.semantic_final.macro_f1,0.424423179932332,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,14,val.puma.macro_f1,0.2574751075692669,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,14,val.puma_summed.macro_f1,0.3913338640321829,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,15,epoch,15,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,15,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,15,train_diagnostics.loss,0.1964314928164287,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,15,val.loss.total,1.3217799699327293,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,15,val.semantic_final.macro_f1,0.4276568480174306,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,15,val.puma.macro_f1,0.2622973935322387,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,15,val.puma_summed.macro_f1,0.3902872547306189,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,16,epoch,16,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,16,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,16,train_diagnostics.loss,0.1768233314866111,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,16,val.loss.total,1.3677194762188312,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,16,val.semantic_final.macro_f1,0.4176722440019773,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,16,val.puma.macro_f1,0.2543905198666412,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,16,val.puma_summed.macro_f1,0.3839970163613507,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,17,epoch,17,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,17,phase,semantic_joint_identity,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,17,train_diagnostics.loss,0.1641614280742447,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,17,val.loss.total,1.397857059400535,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,17,val.semantic_final.macro_f1,0.4225173710484556,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,17,val.puma.macro_f1,0.2586141859855347,UNRESOLVED HISTORICAL IMPORT
history_compact.csv,17,val.puma_summed.macro_f1,0.3892830784505632,UNRESOLVED HISTORICAL IMPORT
