family,seed,ROI_F1,ROI_P,ROI_R,pooled_F1,semantic_F1,accuracy,balanced_accuracy,NLL,ECE15,parameters,gap,runtime_seconds
A2_broken,29,0.06992907801418438,0.06879432624113477,0.07352245862884162,0.35249669211422663,0.3531000103646037,0.38333333333333336,0.35351954066742797,2.060790538787842,0.20794245834151903,27866,0.5840380976275256,2.1717660000140313
A2_broken,43,0.06865248226950355,0.06725768321513002,0.07387706855791962,0.35919590840647186,0.35965844309657363,0.38666666666666666,0.3563919553356173,2.0681216716766357,0.17730526079734168,27866,0.5949787105266159,2.0340672000020277
A3,17,0.11013508949679163,0.10916075650118202,0.11382978723404254,0.5631289726502648,0.5644110239323161,0.5833333333333334,0.5655199213297806,1.3922055959701538,0.1193517021338145,27866,0.38599489904816525,2.1826468000072055
A3,29,0.11193177980412025,0.11069739952718675,0.1153664302600473,0.5783877673462734,0.579362944651238,0.5866666666666667,0.577961235883771,1.3457049131393433,0.11354746038715045,27866,0.3844605450475523,2.1913360000471584
A3,43,0.10420803782505912,0.10319148936170212,0.10756501182033096,0.5390665353070198,0.5400766363171208,0.5533333333333333,0.5380979571120416,1.4020861387252808,0.15128490289052332,27866,0.4051908176117796,2.130356599984225
A3_broken,17,0.059929078014184414,0.05874704491725767,0.0640661938534279,0.29083797968722996,0.29141768983215754,0.3333333333333333,0.28730649663748253,2.2241134643554688,0.22539410670598348,27866,0.6791570361559808,2.169225599966012
A3_broken,29,0.060472813238770684,0.05969267139479906,0.06406619385342789,0.2895546840981356,0.29004385251183235,0.33,0.29400298185509455,2.2208354473114014,0.22291523605585095,27866,0.6780250753700497,2.1947483000112697
A3_broken,43,0.05527186761229315,0.054728132387706865,0.05910165484633569,0.27873778518238373,0.2793720346538425,0.30666666666666664,0.2732806750412384,2.1944100856781006,0.23882626359661424,27866,0.6852840351906112,2.159001999971224
A4,17,0.10113475177304965,0.09964539007092199,0.10543735224586288,0.5195295943364776,0.5207491065315997,0.5433333333333333,0.5212060652201498,1.2898669242858887,0.13394707903265957,27866,0.42797116164325893,2.1900277999811806
A4,29,0.10623438027693347,0.1051418439716312,0.11028368794326242,0.5555617722395343,0.5565793485577581,0.57,0.5543696865879963,1.24009370803833,0.10499170790115993,27866,0.4177567562550801,2.203044099966064
A4,43,0.10669030732860521,0.10555555555555556,0.11075650118203309,0.5508671466568293,0.5520209928106756,0.57,0.5449704986676818,1.2890162467956543,0.09964409718910854,27866,0.4101582485721876,2.1487813999701757
A4_broken,17,0.08049645390070923,0.07919621749408982,0.08463356973995272,0.40999858588899685,0.4107078057471528,0.43666666666666665,0.416133739373176,1.6907204389572144,0.14091342687606812,27866,0.5439814162664681,2.1260366999777034
A4_broken,29,0.08907125970955758,0.08717494089834515,0.0950354609929078,0.47020660461354485,0.4709795514734482,0.49666666666666665,0.47278105570359086,1.6965526342391968,0.08419662843147917,27866,0.48070014384236986,2.2004191000014544
A4_broken,43,0.08968591691995949,0.08859338061465721,0.09432624113475177,0.45977199227832644,0.46048627799261216,0.49,0.4629837584062936,1.7137672901153564,0.11281449764966965,27866,0.4850932717137592,2.215920199989341
B1,17,0.08508274231678489,0.0842789598108747,0.08959810874704492,0.43215576719894777,0.4327094770549831,0.46,0.43944455018398676,1.581890344619751,0.11681367442011836,40234,0.4998911872231003,3.0535810999863315
B1,29,0.08106382978723406,0.07955082742316785,0.08640661938534279,0.42852060171570566,0.42931847405613127,0.44666666666666666,0.43656896332952677,1.59108567237854,0.10994018316268922,40234,0.5001378699512382,2.8873028999951202
B1,43,0.08685579196217495,0.08557919621749407,0.09101654846335697,0.4481637434973266,0.44884247652900083,0.47333333333333333,0.4517193249587616,1.6124030351638794,0.10351206431786218,40234,0.4766520981857883,3.230248300038511
B2,17,0.08721040189125297,0.08640661938534279,0.091371158392435,0.4393256211903327,0.4399063412832479,0.47,0.44642811825910417,1.586510419845581,0.11812137613693874,40234,0.4881780976802244,3.0009165999945253
B2,29,0.08153664302600473,0.07955082742316785,0.08747044917257682,0.42963293768498867,0.43040588454489204,0.4533333333333333,0.43662764877553606,1.593593716621399,0.10792465676863988,40234,0.4939116644754962,3.020323800010374
B2,43,0.08843971631205674,0.08729314420803783,0.09243498817966903,0.456252905335626,0.4568818361532361,0.48,0.4600526582920949,1.6055721044540405,0.10125536258021992,40234,0.4629802204441715,2.980642300011823
B_duplicate,17,0.08555555555555557,0.0846335697399527,0.08995271867612294,0.4312042706416566,0.431757980497692,0.4633333333333333,0.43809478492577075,1.5944077968597412,0.10688097511728609,40234,0.49715580842264107,2.8472467999963555
B_duplicate,29,0.08082742316784872,0.07884160756501182,0.08676122931442079,0.4281176025497123,0.4289154748901378,0.45,0.4352191980713108,1.6007415056228638,0.1098350095252196,40234,0.4938796874236611,3.0240531000017654
B_duplicate,43,0.08678486997635934,0.08552009456264775,0.09101654846335697,0.44720649280135055,0.4478596132657917,0.47333333333333333,0.4517193249587616,1.6166073083877563,0.10406770288944245,40234,0.4724251768457612,2.9863668000034522
