id,epoch,objective,train_CE,val_CE,train_semantic_F1,val_semantic_F1,ROI_F1,pooled_F1,accuracy,balanced_accuracy,gap,min_class_exposure,min_positive_target_head_gradient,LR
p3_B3_shuffle_s43_cv0,7,0.6862266751436087,0.6728050708770752,1.8066351413726807,0.8264184381552866,0.34452959321380366,0.06876811594202899,0.3445295932138037,0.3804347826086957,0.37652067231014597,0.48188884494148293,12,3.5109697360741463,0.001
p3_B3_shuffle_s43_cv0,8,0.6364283699255723,0.6327158212661743,1.8548049926757812,0.8382077060641251,0.298911578617461,0.0558695652173913,0.298911578617461,0.31521739130434784,0.3384851990115148,0.5392961274466641,15,2.6964124158809057,0.001
p3_B3_shuffle_s43_cv0,9,0.5055340115840619,0.5181901454925537,1.7944320440292358,0.878164652658555,0.34748601781849864,0.06731884057971013,0.34748601781849864,0.391304347826087,0.35817103948682893,0.5306786348400564,16,2.25092575663612,0.001
p3_B3_shuffle_s43_cv0,10,0.4854980088197268,0.44112250208854675,1.8330378532409668,0.9152400314796101,0.38850548991526435,0.07492753623188406,0.38850548991526435,0.42391304347826086,0.4000368491157965,0.5267345415643457,13,3.5710227947968702,0.001
p3_B3_shuffle_s43_cv1,1,2.2939140147563672,1.9860913753509521,2.216599702835083,0.32993969242031584,0.1593116034292505,0.03659722222222222,0.1593116034292505,0.1926605504587156,0.23857142857142857,0.17062808899106535,13,32.19622349739075,0.001
p3_B3_shuffle_s43_cv1,2,1.9365121107450955,1.7214109897613525,2.01979923248291,0.4076940680146423,0.20766430867964916,0.04625,0.20766430867964916,0.25688073394495414,0.29269841269841274,0.20002975933499315,14,27.71444944234995,0.001
p3_B3_shuffle_s43_cv1,3,1.4790390149461037,1.4592204093933105,1.9224518537521362,0.5778038526686504,0.24750986129184124,0.057638888888888885,0.2475098612918413,0.29357798165137616,0.326017316017316,0.33029399137680915,16,19.69187849446347,0.001
p3_B3_shuffle_s43_cv1,4,1.214774294049328,1.243273377418518,1.8203613758087158,0.6533856936932938,0.2850621859181697,0.0629861111111111,0.2850621859181697,0.3119266055045872,0.3327633477633477,0.3683235077751241,16,16.387353499730427,0.001
p3_B3_shuffle_s43_cv1,5,1.0311662046072996,1.0789942741394043,1.7943693399429321,0.7167152502753004,0.2778264971743233,0.06631944444444444,0.2778264971743233,0.3302752293577982,0.33454545454545453,0.4388887531009771,15,11.98414756457011,0.001
p3_B3_shuffle_s43_cv1,6,0.8794787722732385,0.8833933472633362,1.730894684791565,0.7907939444449392,0.2979353786310308,0.07111111111111111,0.2979353786310308,0.3577981651376147,0.3357359307359307,0.4928585658139084,15,13.250923232598739,0.001
p3_B3_shuffle_s43_cv1,7,0.7722229408344049,0.7338753938674927,1.724900722503662,0.7600731377567959,0.33169904515405363,0.07604166666666667,0.3316990451540537,0.4036697247706422,0.378001443001443,0.42837409260274223,8,9.50482460627189,0.001
p3_B3_shuffle_s43_cv1,8,0.6278798374205984,0.6646374464035034,1.7654637098312378,0.8182903444248313,0.304462568832134,0.071875,0.304462568832134,0.3761467889908257,0.3581962481962482,0.5138277755926972,13,6.280074336949517,0.001
p3_B3_shuffle_s43_cv1,9,0.5982395863033714,0.6346921920776367,1.7626243829727173,0.8536401437358642,0.35091652482364555,0.07680555555555554,0.35091652482364555,0.3853211009174312,0.3916919191919192,0.5027236189122186,12,5.137078674634298,0.001
p3_B3_shuffle_s43_cv1,10,0.5333786297843094,0.6076949238777161,1.7708054780960083,0.8497596107370035,0.35143373449511556,0.07618055555555556,0.3514337344951156,0.3761467889908257,0.38931096681096683,0.4983258762418879,13,7.7596365472544795,0.001
p3_B3_shuffle_s43_cv2,1,2.2892413874763755,1.9594532251358032,2.1337368488311768,0.2834793880297134,0.17565954832449154,0.03401215805471124,0.17565954832449154,0.2222222222222222,0.22662698412698412,0.10781983970522185,15,32.13145397327565,0.001
p3_B3_shuffle_s43_cv2,2,1.859319735522294,1.6137795448303223,1.9472010135650635,0.48717990901414565,0.24281689325167582,0.04609929078014184,0.24281689325167582,0.2828282828282828,0.27646825396825403,0.24436301576246983,15,19.918907928466798,0.001
p3_B3_shuffle_s43_cv2,3,1.5117847373829552,1.4613066911697388,1.9304805994033813,0.5100410473876744,0.25754905239687853,0.046453900709219856,0.2553512501990763,0.26262626262626265,0.34460317460317463,0.2524919949907959,15,22.11383409853335,0.001
p3_B3_shuffle_s43_cv2,4,1.2939454323023707,1.2139832973480225,1.87601900100708,0.652055980583983,0.3399989103192765,0.060851063829787236,0.3399989103192764,0.37373737373737376,0.3995634920634921,0.31205707026470647,15,13.437466686422175,0.001
p3_B3_shuffle_s43_cv2,5,1.0374964573490086,0.9886637330055237,1.7749937772750854,0.7258963236503863,0.32891826705868454,0.060070921985815595,0.32891826705868454,0.37373737373737376,0.3716666666666667,0.3969780565917017,12,14.605639481544495,0.001
p3_B3_shuffle_s43_cv2,6,0.8771984715070298,0.9227868914604187,1.7778010368347168,0.7527660029127143,0.36157174461079383,0.06290780141843971,0.3600565930956423,0.37373737373737376,0.37837301587301586,0.3911942583019205,12,5.89271332715687,0.001
p3_B3_shuffle_s43_cv2,7,0.7797216135471021,0.7611347436904907,1.6985032558441162,0.8263798431079529,0.3926267905536198,0.07070921985815604,0.390808608735438,0.42424242424242425,0.41154761904761905,0.43375305255433305,12,10.36636283993721,0.001
p3_B3_shuffle_s43_cv2,8,0.689041390051296,0.649504542350769,1.7149895429611206,0.8579381837550238,0.4205010893246187,0.07617021276595745,0.41898593780946725,0.45454545454545453,0.4514682539682539,0.4374370944304051,15,6.182359667924734,0.001
p3_B3_shuffle_s43_cv2,9,0.6473720429548576,0.5569219589233398,1.6587408781051636,0.9054389085812133,0.40773050121625837,0.07510638297872341,0.40644844993420703,0.46464646464646464,0.43123015873015874,0.497708407364955,14,7.537433879716056,0.001
p3_B3_shuffle_s43_cv2,10,0.45541798668121225,0.5155091285705566,1.6271374225616455,0.9148216337195321,0.42919985811290157,0.07425531914893617,0.42846456399525445,0.4444444444444444,0.4533333333333333,0.4856217756066305,13,7.082518766666281,0.001
p3_B4_placebo_s17_cv0,1,2.3779926024950466,1.9672913551330566,2.1074156761169434,0.310299490406312,0.22101043315877072,0.04942028985507246,0.22101043315877072,0.29347826086956524,0.24409345040923985,0.08928905724754127,13,31.45096092224121,0.001
p3_B4_placebo_s17_cv0,2,1.7817919712800245,1.524164080619812,1.8568670749664307,0.5138465950323933,0.3456465919701214,0.07166666666666667,0.3456465919701214,0.42391304347826086,0.3592718684823948,0.1682000030622719,10,26.928715864817303,0.001
p3_B4_placebo_s17_cv0,3,1.5314140686622033,1.349749207496643,1.9045394659042358,0.5572884901998827,0.2842862838915471,0.06731884057971013,0.2842862838915471,0.3804347826086957,0.3894395078605605,0.2730022063083356,15,22.83901709318161,0.001
p3_B4_placebo_s17_cv0,4,1.2309781404641957,1.1370773315429688,1.811585783958435,0.6849689352907709,0.3089913327413327,0.06768115942028985,0.3089913327413327,0.3804347826086957,0.37679973535236694,0.37597760254943813,15,16.365062412462738,0.001
p3_B4_placebo_s17_cv0,5,1.0366847056608934,1.0267592668533325,1.7647377252578735,0.6935499352792919,0.2786429549797823,0.059347826086956525,0.2786429549797823,0.33695652173913043,0.34420430446746236,0.41490698029950956,14,11.981854462623597,0.001
