prompt,run_id,seed,fold,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion,class_diagnostics
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,2,val,neutrophil,2,4,0.25,0.5,0.3333333333333333,1,3,1,"[[""plasma_cell"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,2,val,stroma,2,0,0.0,0.0,0.0,0,0,2,"[[""plasma_cell"",1],[""histiocyte"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,2,val,epithelium,2,2,0.5,0.5,0.5,1,1,1,"[[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,2,val,endothelium,2,4,0.0,0.0,0.0,0,4,2,"[[""lymphocyte"",1],[""histiocyte"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,2,val,apoptosis,2,4,0.25,0.5,0.3333333333333333,1,3,1,"[[""neutrophil"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,3,train,tumor,3,4,0.75,1.0,0.8571428571428571,3,1,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,3,train,lymphocyte,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,3,train,plasma_cell,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,3,train,histiocyte,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,3,train,melanophage,3,2,1.0,0.6666666666666666,0.8,2,0,1,"[[""tumor"",1]]",NOT RECORDED IN ORIGINAL RUN
