prompt,run_id,seed,fold,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion,class_diagnostics
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,stroma,709,1146,0.14659685863874344,0.23695345557122707,0.1811320754716981,168,978,541,"[[""histiocyte"",147],[""apoptosis"",99],[""lymphocyte"",74],[""plasma_cell"",58],[""melanophage"",38],[""epithelium"",38],[""endothelium"",38],[""neutrophil"",28],[""tumor"",21]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,epithelium,439,2238,0.11751563896336015,0.5990888382687927,0.1964886066492342,263,1975,176,"[[""histiocyte"",53],[""tumor"",45],[""lymphocyte"",21],[""melanophage"",15],[""stroma"",11],[""apoptosis"",10],[""plasma_cell"",9],[""endothelium"",9],[""neutrophil"",3]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,endothelium,320,887,0.06426155580608793,0.178125,0.09444904722452362,57,830,263,"[[""histiocyte"",111],[""stroma"",38],[""tumor"",34],[""epithelium"",23],[""lymphocyte"",19],[""plasma_cell"",17],[""apoptosis"",16],[""neutrophil"",3],[""melanophage"",2]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,apoptosis,324,1158,0.11917098445595854,0.42592592592592593,0.1862348178137652,138,1020,186,"[[""plasma_cell"",57],[""neutrophil"",47],[""lymphocyte"",26],[""stroma"",22],[""histiocyte"",12],[""epithelium"",8],[""tumor"",6],[""endothelium"",5],[""melanophage"",3]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,tumor,2849,599,0.9065108514190318,0.1905931905931906,0.31496519721577726,543,56,2306,"[[""histiocyte"",690],[""epithelium"",422],[""plasma_cell"",367],[""stroma"",226],[""endothelium"",181],[""lymphocyte"",176],[""melanophage"",139],[""apoptosis"",60],[""neutrophil"",45]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,lymphocyte,672,490,0.5530612244897959,0.40327380952380953,0.4664371772805508,271,219,401,"[[""histiocyte"",95],[""plasma_cell"",78],[""apoptosis"",65],[""stroma"",51],[""neutrophil"",34],[""melanophage"",28],[""tumor"",26],[""epithelium"",15],[""endothelium"",9]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,plasma_cell,14,494,0.004048582995951417,0.14285714285714285,0.007874015748031496,2,492,12,"[[""histiocyte"",5],[""stroma"",2],[""epithelium"",2],[""tumor"",1],[""neutrophil"",1],[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,histiocyte,166,958,0.09812108559498957,0.5662650602409639,0.16725978647686832,94,864,72,"[[""stroma"",22],[""plasma_cell"",14],[""epithelium"",13],[""lymphocyte"",7],[""endothelium"",6],[""apoptosis"",4],[""tumor"",3],[""neutrophil"",2],[""melanophage"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,melanophage,66,230,0.2217391304347826,0.7727272727272727,0.34459459459459457,51,179,15,"[[""epithelium"",5],[""stroma"",4],[""tumor"",3],[""lymphocyte"",1],[""histiocyte"",1],[""apoptosis"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,neutrophil,37,123,0.10569105691056911,0.35135135135135137,0.1625,13,110,24,"[[""apoptosis"",17],[""plasma_cell"",4],[""stroma"",3]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,stroma,149,390,0.12051282051282051,0.31543624161073824,0.17439703153988867,47,343,102,"[[""histiocyte"",27],[""lymphocyte"",17],[""plasma_cell"",13],[""apoptosis"",11],[""melanophage"",9],[""tumor"",8],[""epithelium"",7],[""neutrophil"",5],[""endothelium"",5]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,epithelium,65,509,0.07072691552062868,0.5538461538461539,0.1254355400696864,36,473,29,"[[""tumor"",8],[""histiocyte"",8],[""lymphocyte"",7],[""stroma"",2],[""endothelium"",2],[""melanophage"",1],[""neutrophil"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,endothelium,85,221,0.07692307692307693,0.2,0.1111111111111111,17,204,68,"[[""histiocyte"",32],[""stroma"",13],[""epithelium"",8],[""plasma_cell"",6],[""tumor"",4],[""neutrophil"",3],[""lymphocyte"",1],[""apoptosis"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,val,apoptosis,97,186,0.14516129032258066,0.27835051546391754,0.19081272084805653,27,159,70,"[[""stroma"",20],[""neutrophil"",19],[""lymphocyte"",10],[""plasma_cell"",10],[""histiocyte"",6],[""tumor"",3],[""melanophage"",1],[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,tumor,9591,1245,0.9261044176706827,0.12021686998227504,0.21280915466961978,1153,92,8438,"[[""epithelium"",4900],[""melanophage"",733],[""stroma"",641],[""endothelium"",555],[""histiocyte"",478],[""lymphocyte"",414],[""plasma_cell"",330],[""apoptosis"",284],[""neutrophil"",103]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,lymphocyte,3378,2173,0.7132995858260469,0.45885139135583186,0.5584579355071159,1550,623,1828,"[[""stroma"",430],[""epithelium"",379],[""apoptosis"",378],[""histiocyte"",233],[""plasma_cell"",142],[""neutrophil"",120],[""melanophage"",74],[""tumor"",38],[""endothelium"",34]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,plasma_cell,81,607,0.08237232289950576,0.6172839506172839,0.14534883720930233,50,557,31,"[[""apoptosis"",10],[""lymphocyte"",9],[""epithelium"",5],[""stroma"",3],[""melanophage"",2],[""histiocyte"",1],[""neutrophil"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,histiocyte,1295,1197,0.31746031746031744,0.29343629343629346,0.30497592295345105,380,817,915,"[[""epithelium"",355],[""stroma"",189],[""lymphocyte"",103],[""endothelium"",89],[""melanophage"",74],[""plasma_cell"",54],[""tumor"",22],[""apoptosis"",21],[""neutrophil"",8]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,melanophage,114,1082,0.09426987060998152,0.8947368421052632,0.1705685618729097,102,980,12,"[[""epithelium"",11],[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,neutrophil,49,353,0.10764872521246459,0.7755102040816326,0.1890547263681592,38,315,11,"[[""apoptosis"",5],[""lymphocyte"",2],[""stroma"",2],[""plasma_cell"",1],[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,stroma,709,1596,0.15413533834586465,0.3469675599435825,0.21344902386117137,246,1350,463,"[[""epithelium"",155],[""melanophage"",58],[""apoptosis"",51],[""histiocyte"",50],[""lymphocyte"",49],[""endothelium"",42],[""neutrophil"",27],[""plasma_cell"",18],[""tumor"",13]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,epithelium,439,6328,0.06242098609355246,0.8997722095671982,0.11674301758534063,395,5933,44,"[[""melanophage"",17],[""lymphocyte"",6],[""tumor"",5],[""histiocyte"",5],[""apoptosis"",5],[""stroma"",3],[""endothelium"",2],[""neutrophil"",1]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,endothelium,320,806,0.0967741935483871,0.24375,0.13854351687388988,78,728,242,"[[""epithelium"",92],[""stroma"",50],[""histiocyte"",43],[""lymphocyte"",15],[""tumor"",11],[""melanophage"",10],[""apoptosis"",10],[""plasma_cell"",6],[""neutrophil"",5]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,train,apoptosis,324,913,0.16319824753559695,0.45987654320987653,0.24090541632983023,149,764,175,"[[""neutrophil"",50],[""epithelium"",35],[""stroma"",32],[""lymphocyte"",25],[""melanophage"",12],[""histiocyte"",7],[""plasma_cell"",6],[""endothelium"",5],[""tumor"",3]]",NOT RECORDED IN ORIGINAL RUN
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,3,val,tumor,2849,376,0.9228723404255319,0.1217971217971218,0.2151937984496124,347,29,2502,"[[""epithelium"",1336],[""stroma"",228],[""histiocyte"",199],[""endothelium"",194],[""melanophage"",188],[""plasma_cell"",165],[""lymphocyte"",121],[""apoptosis"",40],[""neutrophil"",31]]",NOT RECORDED IN ORIGINAL RUN
