prompt,run_id,seed,fold,epoch,split,true_class,predicted_class,count
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,lymphocyte,8
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,plasma_cell,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,histiocyte,9
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,melanophage,7
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,neutrophil,26
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,stroma,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,epithelium,18
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,endothelium,56
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,stroma,apoptosis,12
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,tumor,13
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,lymphocyte,6
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,plasma_cell,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,histiocyte,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,melanophage,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,neutrophil,8
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,stroma,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,epithelium,35
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,endothelium,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,epithelium,apoptosis,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,tumor,3
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,lymphocyte,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,plasma_cell,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,histiocyte,6
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,melanophage,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,neutrophil,9
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,stroma,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,epithelium,22
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,endothelium,39
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,endothelium,apoptosis,3
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,tumor,5
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,lymphocyte,5
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,plasma_cell,3
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,histiocyte,5
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,melanophage,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,neutrophil,50
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,stroma,2
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,epithelium,8
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,endothelium,8
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,1,val,apoptosis,apoptosis,10
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,tumor,1979
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,lymphocyte,646
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,plasma_cell,1003
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,histiocyte,1844
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,melanophage,381
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,neutrophil,124
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,stroma,606
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,epithelium,1774
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,endothelium,697
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,apoptosis,537
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,tumor,59
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,lymphocyte,1494
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,plasma_cell,565
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,histiocyte,496
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,melanophage,42
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,neutrophil,141
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,stroma,208
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,epithelium,46
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,endothelium,16
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,lymphocyte,apoptosis,311
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,tumor,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,lymphocyte,5
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,plasma_cell,66
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,histiocyte,4
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,melanophage,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,neutrophil,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,stroma,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,epithelium,0
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,endothelium,1
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,plasma_cell,apoptosis,5
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,tumor,52
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,lymphocyte,94
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,plasma_cell,139
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,histiocyte,722
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,melanophage,23
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,neutrophil,11
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,stroma,87
1,CNN_balanced_ce,17,NOT RECORDED IN ORIGINAL RUN,2,train,histiocyte,epithelium,81
