run_id,seed,roi,roi_fixed10_f1,semantic_annotation_rows,summary_sha256
p6_A_D300_s29,29,training_set_primary_roi_002,0.0,1,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_006,0.0,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_009,0.0,2,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_010,0.16666666666666666,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_012,0.05,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_014,0.26666666666666666,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_016,0.35,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_020,0.26666666666666666,4,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_022,0.2,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_024,0.0,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_029,0.26666666666666666,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_032,0.27999999999999997,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_034,0.13333333333333333,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_036,0.06666666666666667,4,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_037,0.1,4,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_040,0.2333333333333333,7,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_052,0.3238095238095238,9,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_057,0.14666666666666667,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_058,0.3333333333333333,7,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_062,0.1,3,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_064,0.15,5,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_067,0.26666666666666666,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
p6_A_D300_s29,29,training_set_primary_roi_068,0.06666666666666667,6,0f8e1c7808f8031d18a43a9b91343db60588ccf8694a2e41a8f2d23313dcdbfb
