representation,class_name,n_train,n_confirmation,within_class_cosine,between_class_cosine,same_class_same_ROI_cosine,same_class_different_ROI_cosine,same_class_different_case_cosine,Fisher_between_within,held_fold_5NN_purity,held_fold_centroid_margin,held_fold_silhouette_like,train_confirmation_centroid_shift,covariance_Frobenius_shift,nearest_competing_class,train_margin,confirmation_margin,margin_change,cosine_softmax_entropy_change,scope
target_patch,tumor,71,39,0.3890466986265621,0.31414359172370576,0.474586493731446,0.38854436761504013,NOT RECORDED IN ORIGINAL RUN,0.17983312758593262,0.5183098591549296,-0.00386947375075304,-0.04355970235654501,0.1783538912168656,0.12118531003796103,epithelium,0.004903884923870198,-0.01779586667589852,-0.022699751599768718,0.00012528314454307576,descriptive; confirmation reused; no selection
gaussian,plasma_cell,24,12,0.4787700929102079,0.36846601562992826,0.8565666913925616,0.47756691902969084,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.3666666666666667,-0.004713133295776428,-0.03161753135813942,0.2871846675235158,0.19801211185372106,lymphocyte,0.032552043064203624,0.09072998996245275,0.05817794689824913,-0.00016359757990258572,descriptive; confirmation reused; no selection
gaussian,histiocyte,24,12,0.45680430723899806,0.3867704081677994,0.505537325220215,0.4564929141528562,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.275,-0.024901095172924197,-0.011474350843167702,0.2971395667321752,0.21931334150979656,stroma,0.007677197207035173,-0.02572576735215296,-0.033402964559188134,0.0009007982520441438,descriptive; confirmation reused; no selection
gaussian,melanophage,24,12,0.5253560452329313,0.3791604565369267,0.629114273559472,0.5250256050153309,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.6083333333333334,0.06359424258758209,0.1196930407419466,0.22086974158739697,0.1787565378221385,histiocyte,0.08716360942111946,0.08632420372601385,-0.0008394056951056134,9.982187727120007e-05,descriptive; confirmation reused; no selection
gaussian,neutrophil,24,12,0.5316874575925961,0.31764575192528244,0.6933122539933481,0.5218920153864899,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.6083333333333334,0.06947064049064236,0.11831660550825555,0.3612288276744365,0.15679255696928263,apoptosis,0.10343756171713304,0.08310987589060272,-0.02032768582653033,-0.0010323910118406054,descriptive; confirmation reused; no selection
gaussian,stroma,24,12,0.40456790771594375,0.3512351880917643,NOT RECORDED IN ORIGINAL RUN,0.40456790771594375,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.225,-0.013378829971825148,-0.05080748264806086,0.3083299048445628,0.20931328635390042,histiocyte,0.030686496073560426,-0.006813798156772767,-0.037500294230333193,0.0003148808417923199,descriptive; confirmation reused; no selection
gaussian,epithelium,24,12,0.44434121324257564,0.3417487914723124,0.47180307627221524,0.44306391728770866,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.4583333333333333,0.02522221371267727,0.07200557759366645,0.3119294670730022,0.23321889396724316,tumor,0.06496299476870782,0.04002942592846139,-0.024933568840246424,0.0007748267381630924,descriptive; confirmation reused; no selection
gaussian,endothelium,24,12,0.4051481276849535,0.3367036865179925,NOT RECORDED IN ORIGINAL RUN,0.4051481276849535,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.31666666666666665,-0.018523696783655313,-0.04949180072588938,0.24366332935956916,0.21903429515651188,histiocyte,0.040605326750965835,0.02568883193674859,-0.014916494814217245,-8.756078037563952e-05,descriptive; confirmation reused; no selection
gaussian,apoptosis,24,12,0.4465290557084069,0.36398284315223034,0.605526527106556,0.446276277534483,NOT RECORDED IN ORIGINAL RUN,0.20113155559534945,0.26666666666666666,-0.011955773849294892,-0.029319096214038012,0.2599690548545708,0.1994247613684497,neutrophil,0.03859535517465938,0.028074480286635593,-0.01052087488802379,0.0016957902651237866,descriptive; confirmation reused; no selection
neighborhood,tumor,71,39,0.4127117636358064,0.3330013269795904,0.5176802913464709,0.41209533771804235,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.5295774647887324,0.007519497981730401,-0.02758124356975705,0.18342711057800842,0.11940075260642954,epithelium,0.015451209374075354,-0.007342084721177294,-0.022793294095252648,0.00019049828950290504,descriptive; confirmation reused; no selection
neighborhood,lymphocyte,37,15,0.480996233510525,0.3346101244018215,0.6219223829734246,0.4801408395835877,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.5621621621621621,0.06742127770436404,0.10214211236526416,0.22613113561414133,0.16712083470335473,plasma_cell,0.0890715801158381,0.04417562538323239,-0.04489595473260571,0.00028621448639931657,descriptive; confirmation reused; no selection
neighborhood,plasma_cell,24,12,0.45009119100863865,0.3325960859436405,0.80124733155606,0.44897285935084413,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.3916666666666666,0.005150051504105284,-0.01247762229381223,0.294689705625667,0.21929216047243064,lymphocyte,0.04685326894811694,0.10423390838635911,0.05738063943824217,-4.930960147708774e-05,descriptive; confirmation reused; no selection
neighborhood,histiocyte,24,12,0.4256610825029628,0.35331716399843044,0.4762532923040899,0.42533780959688533,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.23333333333333336,-0.02991565177121462,-0.020921550746948726,0.2881456400780808,0.22606559660610392,endothelium,0.009283488739492293,-0.01712568891732433,-0.026409177656816624,0.0009362564937407392,descriptive; confirmation reused; no selection
neighborhood,melanophage,24,12,0.48717131628450666,0.3470886854656107,0.5985574337729894,0.48681658342626305,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.55,0.058457852190660076,0.09417113711603832,0.21021554919636232,0.1903554280441033,histiocyte,0.08225184098065978,0.06968393994588917,-0.01256790103477061,1.7026662955998972e-05,descriptive; confirmation reused; no selection
neighborhood,neutrophil,24,12,0.523467616331186,0.27800596730256033,0.6528820496706188,0.5156243173409174,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.6333333333333333,0.07208744314817868,0.14818015406522045,0.3512299009709366,0.16686854008071975,apoptosis,0.11027806884510849,0.11051316027362762,0.00023509142851912967,-0.001202733608719253,descriptive; confirmation reused; no selection
neighborhood,stroma,24,12,0.36618410870885293,0.31131206692693236,NOT RECORDED IN ORIGINAL RUN,0.36618410870885293,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.2583333333333333,-0.0139369377991592,-0.051980880507582504,0.32625563907922467,0.22091004025442884,histiocyte,0.037561806836443896,-0.01989526794696582,-0.057457074783409716,0.0005623561369638708,descriptive; confirmation reused; no selection
neighborhood,epithelium,24,12,0.39822962652892346,0.3125133766395705,0.39608615795735214,0.39832932274155475,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.38333333333333336,0.009427793159122311,0.047710202719228746,0.30761259694420545,0.25506349619298624,tumor,0.04915483572497178,0.01407321438228297,-0.03508162134268881,0.0008704855168901737,descriptive; confirmation reused; no selection
neighborhood,endothelium,24,12,0.3834800366829484,0.30807937493380194,NOT RECORDED IN ORIGINAL RUN,0.3834800366829484,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.3166666666666667,-0.021890802674978494,-0.040145354170673414,0.24409119246644506,0.2263980858443492,histiocyte,0.040903006415456016,0.023590240463875183,-0.017312765951580832,-6.143404342973113e-05,descriptive; confirmation reused; no selection
neighborhood,apoptosis,24,12,0.3966083499799482,0.3183909282766473,0.528860982427498,0.3963980914227979,NOT RECORDED IN ORIGINAL RUN,0.1961088144807898,0.20833333333333334,-0.023510011192343555,-0.06481935465878008,0.28693478046816306,0.21803451944024832,neutrophil,0.036143838886460916,0.028483856137379318,-0.007659982749081598,0.0019670470552930475,descriptive; confirmation reused; no selection
CLS,tumor,71,39,0.5036491295731087,0.4832796369040258,0.6834998730618044,0.5025929590996013,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.3690140845070422,-0.010148598478663265,-0.060342421071932856,0.1455841213711689,0.1037160079855421,apoptosis,0.0004493369399735111,-0.0025162050682201995,-0.0029655420081937107,9.741540769869772e-05,descriptive; confirmation reused; no selection
CLS,lymphocyte,37,15,0.5567227872342095,0.5016485324283602,0.731464432033345,0.5556621399213164,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.3189189189189189,-0.008718677886439024,-0.00196568706082812,0.2289697057312734,0.1460339901074665,histiocyte,0.006245049373998435,-0.027881867187625517,-0.03412691656162395,0.0005438615796666824,descriptive; confirmation reused; no selection
CLS,plasma_cell,24,12,0.5235496368482511,0.49425823033525423,0.7612895226653098,0.5227925034539291,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.11666666666666668,-0.025373165894201938,-0.035076171887210066,0.23987274458870445,0.17877101545683335,apoptosis,0.0028790734260993136,-0.024344315705772824,-0.02722338913187214,7.864681278668684e-05,descriptive; confirmation reused; no selection
CLS,histiocyte,24,12,0.5234430661425532,0.4962723511727013,0.659278343395709,0.5225751090994021,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.1416666666666667,-0.022507347011482843,-0.032858089689479834,0.2719266574269338,0.1832819206931086,lymphocyte,0.0007682293451522446,-0.04615185381571125,-0.04692008316086349,0.00015090741799905771,descriptive; confirmation reused; no selection
CLS,melanophage,24,12,0.5610659185045473,0.4728302972429746,0.6740819970482667,0.5607059946875292,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.4916666666666667,0.052427698752085396,0.12257760679047065,0.22993678582210977,0.16255343703876948,tumor,0.07362699801889333,0.05395127588807611,-0.019675722130817218,0.00012343083233457008,descriptive; confirmation reused; no selection
CLS,neutrophil,24,12,0.5326874783172555,0.4750865057336007,0.6849028674294888,0.5234623032195445,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.20833333333333334,0.0007568904116501499,0.008976238571914597,0.36625156887512506,0.17123564646984663,apoptosis,0.025868091546023566,0.04418584126733011,0.018317749721306547,1.593235841124141e-05,descriptive; confirmation reused; no selection
CLS,stroma,24,12,0.4782483680150504,0.47215848571376606,NOT RECORDED IN ORIGINAL RUN,0.4782483680150504,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.10833333333333334,-0.030497878446269253,-0.08819451868950447,0.22538849886604953,0.18783456227690676,endothelium,0.00793532933193615,-0.006528127342396615,-0.014463456674332766,0.00016326062034011102,descriptive; confirmation reused; no selection
CLS,epithelium,24,12,0.5149711762126606,0.45359199609624673,0.648956038574149,0.5087393221493357,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.3666666666666667,0.021892794732611288,0.040382816663061795,0.32343698328684894,0.18096221897733192,tumor,0.052277607326117664,0.06071852251476722,0.008440915188649555,-4.037886616536923e-05,descriptive; confirmation reused; no selection
CLS,endothelium,24,12,0.5099843965603242,0.48767024799100217,NOT RECORDED IN ORIGINAL RUN,0.5099843965603242,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.16666666666666666,-0.030400110581299978,-0.07167824498650115,0.24428151596004913,0.17596847281083328,histiocyte,-0.002388259432000328,-0.02213423943422634,-0.01974598000222601,0.00017312454173046277,descriptive; confirmation reused; no selection
CLS,apoptosis,24,12,0.5064316832935948,0.48603873570826184,0.5796369098711852,0.5063152997855224,NOT RECORDED IN ORIGINAL RUN,0.09475948323593686,0.20000000000000004,-0.015956051521029222,-0.04154249397205977,0.275112713543934,0.18093581912130088,tumor,0.009307361207020018,-0.01574143269137135,-0.025048793898391368,0.00025920548494839935,descriptive; confirmation reused; no selection
