representation,class_name,other_class,centroid_cosine,centroid_distance
neighborhood,stroma,epithelium,0.7216487863298828,0.48075490496896833
neighborhood,stroma,endothelium,0.8444388092466165,0.35112843637041
neighborhood,stroma,apoptosis,0.7279252731333279,0.47033871857424975
neighborhood,epithelium,tumor,0.9015891385422046,0.2905581612485275
neighborhood,epithelium,lymphocyte,0.6063204190243038,0.6064788778876196
neighborhood,epithelium,plasma_cell,0.6614036560490556,0.5526936539316039
neighborhood,epithelium,histiocyte,0.7193170881524776,0.5048548531544957
neighborhood,epithelium,melanophage,0.7449841815957254,0.49294546394636346
neighborhood,epithelium,neutrophil,0.4967859801115594,0.6981597496320392
neighborhood,epithelium,stroma,0.7216487863298828,0.48075490496896833
neighborhood,epithelium,epithelium,1.0,0.0
neighborhood,epithelium,endothelium,0.7571988481999176,0.45416607421840405
neighborhood,epithelium,apoptosis,0.6265364305837677,0.5690035572634998
neighborhood,endothelium,tumor,0.796034179861236,0.40878408944628675
neighborhood,endothelium,lymphocyte,0.6357577802887032,0.5740741153907343
neighborhood,endothelium,plasma_cell,0.6727059251653776,0.5338645361102817
neighborhood,endothelium,histiocyte,0.8789582902148558,0.3277793849898847
neighborhood,endothelium,melanophage,0.7280583461492822,0.5019294910301635
neighborhood,endothelium,neutrophil,0.5696035406641249,0.6362410383170197
neighborhood,endothelium,stroma,0.8444388092466165,0.35112843637041
neighborhood,endothelium,epithelium,0.7571988481999176,0.45416607421840405
neighborhood,endothelium,endothelium,1.0,0.0
neighborhood,endothelium,apoptosis,0.6429358070288189,0.5452702702228505
neighborhood,apoptosis,tumor,0.7309677480067504,0.4750466715406793
neighborhood,apoptosis,lymphocyte,0.7625875343385835,0.46853340427436896
neighborhood,apoptosis,plasma_cell,0.7790268832453154,0.4432465525828847
neighborhood,apoptosis,histiocyte,0.7201398041255231,0.5003187449911969
neighborhood,apoptosis,melanophage,0.694388180718958,0.5357234126525733
neighborhood,apoptosis,neutrophil,0.8235029611185521,0.4145805754011499
neighborhood,apoptosis,stroma,0.7279252731333279,0.47033871857424975
neighborhood,apoptosis,epithelium,0.6265364305837677,0.5690035572634998
neighborhood,apoptosis,endothelium,0.6429358070288189,0.5452702702228505
neighborhood,apoptosis,apoptosis,1.0,0.0
CLS,tumor,tumor,1.0,0.0
CLS,tumor,lymphocyte,0.9133786739621872,0.3091426594609633
CLS,tumor,plasma_cell,0.9453373886691668,0.24133777011529545
CLS,tumor,histiocyte,0.9212698435013154,0.2928013668987486
CLS,tumor,melanophage,0.8793693330643874,0.3642287766591971
CLS,tumor,neutrophil,0.9149971763300448,0.3004935005276781
CLS,tumor,stroma,0.930912654834896,0.2621834273849163
CLS,tumor,epithelium,0.9124875176872206,0.29946963684252104
CLS,tumor,endothelium,0.9268861802856531,0.273461867724224
CLS,tumor,apoptosis,0.953043513368619,0.21997174163226152
CLS,lymphocyte,tumor,0.9133786739621872,0.3091426594609633
CLS,lymphocyte,lymphocyte,0.9999999999999998,0.0
CLS,lymphocyte,plasma_cell,0.9504787440333256,0.23637958940584702
CLS,lymphocyte,histiocyte,0.9712097900634244,0.18125691429952198
CLS,lymphocyte,melanophage,0.8415420348377671,0.4273458728102713
CLS,lymphocyte,neutrophil,0.9083041867915602,0.3213729460331704
CLS,lymphocyte,stroma,0.9101006710798049,0.3143458297342545
CLS,lymphocyte,epithelium,0.8191160718081375,0.4462580110960465
CLS,lymphocyte,endothelium,0.9317632438137966,0.2755907633067206
CLS,lymphocyte,apoptosis,0.9195688094192126,0.2990522970763355
CLS,plasma_cell,tumor,0.9453373886691668,0.24133777011529545
CLS,plasma_cell,lymphocyte,0.9504787440333256,0.23637958940584702
CLS,plasma_cell,plasma_cell,0.9999999999999999,0.0
CLS,plasma_cell,histiocyte,0.9399296251878082,0.2586605076369466
CLS,plasma_cell,melanophage,0.8398604459164993,0.424737927274182
CLS,plasma_cell,neutrophil,0.9234623245618612,0.2895065687952887
CLS,plasma_cell,stroma,0.9167373677623913,0.29620788890676986
CLS,plasma_cell,epithelium,0.8475456729979485,0.40358121699806815
CLS,plasma_cell,endothelium,0.9217825131946502,0.2891819831952094
CLS,plasma_cell,apoptosis,0.9515115146228859,0.22829293507694215
CLS,histiocyte,tumor,0.9212698435013154,0.2928013668987486
CLS,histiocyte,lymphocyte,0.9712097900634244,0.18125691429952198
CLS,histiocyte,plasma_cell,0.9399296251878082,0.2586605076369466
CLS,histiocyte,histiocyte,1.0,0.0
CLS,histiocyte,melanophage,0.8737294540874181,0.37989567435024924
CLS,histiocyte,neutrophil,0.9113835952185216,0.3142593482573048
CLS,histiocyte,stroma,0.9426326648915748,0.2510251002681869
CLS,histiocyte,epithelium,0.8444352812851941,0.41172997345559986
CLS,histiocyte,endothelium,0.9517724490198047,0.23061712030121861
CLS,histiocyte,apoptosis,0.9136600359812227,0.30767108441369445
CLS,melanophage,tumor,0.8793693330643874,0.3642287766591971
CLS,melanophage,lymphocyte,0.8415420348377671,0.4273458728102713
CLS,melanophage,plasma_cell,0.8398604459164993,0.424737927274182
CLS,melanophage,histiocyte,0.8737294540874181,0.37989567435024924
CLS,melanophage,melanophage,1.0,0.0
CLS,melanophage,neutrophil,0.8164469433498018,0.4549708115436206
CLS,melanophage,stroma,0.8746254362400376,0.3701539103724419
CLS,melanophage,epithelium,0.8357071477854089,0.4261243861038805
CLS,melanophage,endothelium,0.8532519431409236,0.4026942008047018
CLS,melanophage,apoptosis,0.8238771086518176,0.44156687988948057
CLS,neutrophil,tumor,0.9149971763300448,0.3004935005276781
CLS,neutrophil,lymphocyte,0.9083041867915602,0.3213729460331704
CLS,neutrophil,plasma_cell,0.9234623245618612,0.2895065687952887
CLS,neutrophil,histiocyte,0.9113835952185216,0.3142593482573048
CLS,neutrophil,melanophage,0.8164469433498018,0.4549708115436206
CLS,neutrophil,neutrophil,1.0000000000000002,0.0
CLS,neutrophil,stroma,0.9047131602212907,0.3169216874823729
CLS,neutrophil,epithelium,0.8399853666691574,0.41383095544177456
CLS,neutrophil,endothelium,0.9254856821414201,0.2825953707169083
CLS,neutrophil,apoptosis,0.9455050298241505,0.24222787511400082
CLS,stroma,tumor,0.930912654834896,0.2621834273849163
CLS,stroma,lymphocyte,0.9101006710798049,0.3143458297342545
