roi_id,fold,match_status,count
training_set_metastatic_roi_091,2,matched,276
training_set_metastatic_roi_091,2,unmatched,60
training_set_metastatic_roi_092,3,matched,245
training_set_metastatic_roi_092,3,unmatched,70
training_set_metastatic_roi_093,3,matched,571
training_set_metastatic_roi_093,3,unmatched,72
training_set_metastatic_roi_094,3,matched,632
training_set_metastatic_roi_094,3,unmatched,49
training_set_metastatic_roi_095,2,matched,306
training_set_metastatic_roi_095,2,unmatched,63
training_set_metastatic_roi_096,3,matched,367
training_set_metastatic_roi_096,3,unmatched,121
training_set_metastatic_roi_097,4,matched,457
training_set_metastatic_roi_097,4,unmatched,89
training_set_metastatic_roi_098,2,matched,620
training_set_metastatic_roi_098,2,unmatched,112
training_set_metastatic_roi_099,2,matched,383
training_set_metastatic_roi_099,2,unmatched,36
training_set_metastatic_roi_100,2,matched,288
training_set_metastatic_roi_100,2,unmatched,40
training_set_metastatic_roi_101,2,matched,362
training_set_metastatic_roi_101,2,unmatched,61
training_set_metastatic_roi_102,4,matched,293
training_set_metastatic_roi_102,4,unmatched,36
training_set_primary_roi_001,3,matched,584
training_set_primary_roi_001,3,unmatched,32
training_set_primary_roi_002,0,matched,394
training_set_primary_roi_002,0,unmatched,22
training_set_primary_roi_003,3,matched,659
training_set_primary_roi_003,3,unmatched,62
training_set_primary_roi_004,2,matched,355
training_set_primary_roi_004,2,unmatched,34
training_set_primary_roi_005,3,matched,416
training_set_primary_roi_005,3,unmatched,52
training_set_primary_roi_006,2,matched,262
training_set_primary_roi_006,2,unmatched,38
training_set_primary_roi_007,3,matched,294
training_set_primary_roi_007,3,unmatched,38
training_set_primary_roi_008,2,matched,452
training_set_primary_roi_008,2,unmatched,78
training_set_primary_roi_009,0,matched,529
training_set_primary_roi_009,0,unmatched,54
training_set_primary_roi_010,3,matched,367
training_set_primary_roi_010,3,unmatched,79
training_set_primary_roi_011,3,matched,415
training_set_primary_roi_011,3,unmatched,63
training_set_primary_roi_012,3,matched,308
training_set_primary_roi_012,3,unmatched,80
training_set_primary_roi_013,0,matched,433
training_set_primary_roi_013,0,unmatched,82
training_set_primary_roi_014,0,matched,244
training_set_primary_roi_014,0,unmatched,27
training_set_primary_roi_015,0,matched,475
training_set_primary_roi_015,0,unmatched,49
training_set_primary_roi_016,0,matched,656
training_set_primary_roi_016,0,unmatched,98
training_set_primary_roi_017,0,matched,322
training_set_primary_roi_017,0,unmatched,67
training_set_primary_roi_018,0,matched,310
training_set_primary_roi_018,0,unmatched,38
training_set_primary_roi_019,2,matched,313
training_set_primary_roi_019,2,unmatched,48
training_set_primary_roi_020,2,matched,505
training_set_primary_roi_020,2,unmatched,118
training_set_primary_roi_021,2,matched,813
training_set_primary_roi_021,2,unmatched,60
training_set_primary_roi_022,2,matched,374
training_set_primary_roi_022,2,unmatched,24
training_set_primary_roi_023,2,matched,429
