architecture,seed,uid,class,category,classification_delta,dice,iou,area_relative_error,correction_norm,index
A5,17,training_set_primary_roi_004:320,endothelium,A1_wrong_candidate_correct,1,0.2918918918918919,0.17088607594936708,0.7908496732026143,5.929742336273193,202
A5,17,training_set_primary_roi_005:174,lymphocyte,both_correct,0,0.9773371104815864,0.9556786703601108,0.005681818181818182,5.97385311126709,203
A5,17,training_set_primary_roi_005:370,melanophage,both_correct,0,0.8890756302521008,0.800302571860817,0.04819277108433735,1.5834994316101074,204
A5,17,training_set_primary_roi_007:73,epithelium,both_correct,0,0.9155521589606419,0.8442565186751233,0.15574348132487667,2.1406142711639404,209
A5,17,training_set_primary_roi_007:189,melanophage,both_correct,0,0.0,0.0,1.0,3.425288438796997,210
A5,17,training_set_primary_roi_007:214,histiocyte,both_wrong,0,0.9407407407407408,0.8881118881118881,0.05167173252279635,1.5968679189682007,211
A5,17,training_set_primary_roi_007:231,stroma,both_wrong,0,0.9189907038512616,0.8501228501228502,0.09166666666666666,2.198939323425293,212
A5,17,training_set_primary_roi_007:304,tumor,both_wrong,0,0.0,0.0,0.9851851851851852,1.112348198890686,213
A5,17,training_set_primary_roi_010:3,melanophage,both_correct,0,0.9528023598820059,0.9098591549295775,0.0639269406392694,6.898538112640381,216
A5,17,training_set_primary_roi_010:329,epithelium,both_correct,0,0.9015151515151515,0.8206896551724138,0.16666666666666666,2.3416178226470947,217
A5,17,training_set_primary_roi_011:176,endothelium,both_wrong,0,0.9479166666666666,0.900990099009901,0.02959830866807611,1.973856806755066,218
A5,17,training_set_primary_roi_011:396,stroma,both_correct,0,0.9702251270878722,0.9421720733427362,0.04680851063829787,0.5149680376052856,219
A5,17,training_set_primary_roi_011:398,epithelium,both_wrong,0,0.8333333333333334,0.7142857142857143,0.17721518987341772,0.8358001708984375,220
A5,17,training_set_primary_roi_012:10,epithelium,both_wrong,0,0.8096564531104921,0.6801872074882995,0.40939597315436244,3.1701889038085938,221
A5,17,training_set_primary_roi_012:138,endothelium,both_wrong,0,0.9784083898827884,0.9577294685990339,0.011166253101736972,1.2062429189682007,222
A5,17,training_set_primary_roi_013:22,epithelium,both_wrong,0,0.9397590361445783,0.8863636363636364,0.10646387832699619,1.5981563329696655,223
A5,17,training_set_primary_roi_013:104,histiocyte,both_wrong,0,0.9127906976744186,0.839572192513369,0.16042780748663102,1.6701384782791138,224
A5,17,training_set_primary_roi_013:443,neutrophil,both_wrong,0,0.5629949604031678,0.39178356713426854,0.6082164328657315,4.660168647766113,225
A5,17,training_set_primary_roi_015:301,tumor,A1_wrong_candidate_correct,1,0.9613259668508287,0.925531914893617,0.07446808510638298,2.3113930225372314,228
A5,17,training_set_primary_roi_015:452,endothelium,both_wrong,0,0.8431568431568431,0.7288428324697754,0.2711571675302245,1.4515299797058105,229
A5,17,training_set_primary_roi_016:73,tumor,both_wrong,0,0.8964013086150491,0.8122529644268774,0.1437246963562753,3.619863986968994,230
A5,17,training_set_primary_roi_016:95,lymphocyte,both_wrong,0,0.9141475211608222,0.8418708240534521,0.15812917594654788,0.7623146772384644,231
A5,17,training_set_primary_roi_016:498,histiocyte,both_wrong,0,0.9544757033248081,0.9129158512720157,0.01962809917355372,1.682236671447754,232
A5,17,training_set_primary_roi_016:542,melanophage,both_correct,0,0.9093655589123867,0.8337950138504155,0.16620498614958448,1.6368274688720703,233
