prompt,run_id,phase,epoch,split,evaluation_contract_id,class_name,roi_precision,roi_recall,roi_f1,pooled_precision,pooled_recall,pooled_f1,pooled_TP,pooled_FP,pooled_FN,source_sha256
6,p6_A_D300_s17,joint,2,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,apoptosis,0.0942622950819672,0.11475409836065574,0.0994535519125683,0.4375,0.2916666666666667,0.35000000000000003,7,9,17,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,tumor,0.24107142857142858,0.2857142857142857,0.2559523809523809,0.5925925925925926,0.27586206896551724,0.3764705882352941,16,11,42,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,lymphocyte,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.2,0.043478260869565216,0.07142857142857142,1,4,22,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,plasma_cell,0.05357142857142857,0.05357142857142857,0.05357142857142857,0.2777777777777778,0.2777777777777778,0.2777777777777778,5,13,13,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,histiocyte,0.008928571428571428,0.017857142857142856,0.011904761904761904,0.07142857142857142,0.05555555555555555,0.0625,1,13,17,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,melanophage,0.17517006802721086,0.25,0.1949404761904762,0.30434782608695654,0.7777777777777778,0.43750000000000006,14,32,4,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,neutrophil,0.05059523809523809,0.07142857142857142,0.05297619047619047,0.36363636363636365,0.42105263157894735,0.3902439024390244,8,14,11,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,stroma,0.04166666666666667,0.05357142857142857,0.044642857142857144,0.2727272727272727,0.16666666666666666,0.20689655172413793,3,8,15,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,epithelium,0.07738095238095237,0.08928571428571429,0.08214285714285714,0.7142857142857143,0.5555555555555556,0.6250000000000001,10,4,8,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,endothelium,0.11517857142857142,0.17857142857142858,0.12916666666666668,0.17543859649122806,0.5555555555555556,0.26666666666666666,10,47,8,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,2,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,apoptosis,0.0,0.0,0.0,0.0,0.0,0.0,0,11,18,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,tumor,0.5327868852459017,0.5327868852459017,0.5218579234972679,0.8043478260869565,0.5211267605633803,0.6324786324786325,37,9,34,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,lymphocyte,0.27240437158469943,0.4262295081967213,0.31803278688524594,0.41935483870967744,0.7027027027027027,0.5252525252525253,26,36,11,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,plasma_cell,0.13114754098360656,0.13934426229508196,0.13114754098360656,0.7058823529411765,0.5,0.5853658536585366,12,5,12,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,histiocyte,0.133879781420765,0.16393442622950818,0.14129586260733804,0.47619047619047616,0.4166666666666667,0.4444444444444445,10,11,14,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,melanophage,0.2226775956284153,0.3114754098360656,0.24972677595628415,0.5757575757575758,0.7916666666666666,0.6666666666666667,19,14,5,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,neutrophil,0.11664564943253466,0.11826697892271663,0.11631537861046057,0.7,0.875,0.7777777777777777,21,9,3,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,stroma,0.14890710382513658,0.21311475409836064,0.16775956284153004,0.4642857142857143,0.5416666666666666,0.5,13,15,11,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,epithelium,0.11885245901639344,0.14207650273224046,0.12685402029664322,0.5833333333333334,0.875,0.7000000000000001,21,15,3,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,endothelium,0.27049180327868855,0.29508196721311475,0.2786885245901639,0.75,0.75,0.75,18,6,6,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,train,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,apoptosis,0.04918032786885246,0.04918032786885246,0.04918032786885246,1.0,0.125,0.2222222222222222,3,0,21,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,tumor,0.30357142857142855,0.32142857142857145,0.3095238095238095,0.5806451612903226,0.3103448275862069,0.4044943820224719,18,13,40,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,lymphocyte,0.16130952380952382,0.23214285714285715,0.17797619047619048,0.26,0.5652173913043478,0.3561643835616438,13,37,10,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,plasma_cell,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.08333333333333333,0.05555555555555555,0.06666666666666667,1,11,17,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,histiocyte,0.044642857142857144,0.05357142857142857,0.047619047619047616,0.17647058823529413,0.16666666666666666,0.17142857142857143,3,14,15,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,melanophage,0.1547619047619048,0.19642857142857142,0.16581632653061226,0.36666666666666664,0.6111111111111112,0.45833333333333326,11,19,7,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,neutrophil,0.07083333333333333,0.07589285714285714,0.0626700680272109,0.47368421052631576,0.47368421052631576,0.47368421052631576,9,10,10,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,stroma,0.07589285714285714,0.10714285714285714,0.08452380952380951,0.1935483870967742,0.3333333333333333,0.24489795918367346,6,25,12,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,epithelium,0.1130952380952381,0.125,0.11785714285714285,0.5833333333333334,0.7777777777777778,0.6666666666666666,14,10,4,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
6,p6_A_D300_s17,joint,3,dev,puma_public_track2_nuclei_class_first_greedy_dynamic_avg_2026,endothelium,0.07738095238095237,0.08928571428571429,0.08035714285714286,0.5,0.2777777777777778,0.35714285714285715,5,5,13,96ac13b416f7c72a3f215d1cedbb152b0c057add45f11379d9b0d2883ce3ba3a
