prompt,experiment_group,scenario_id,run_id,seed,fold,phase,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,endothelium,18,10,0.5,0.2777777777777778,0.35714285714285715,5,5,13,"[[""lymphocyte"",4],[""melanophage"",3],[""histiocyte"",2],[""epithelium"",2],[""tumor"",1],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,3,dev,apoptosis,18,1,0.0,0.0,0.0,0,1,18,"[[""stroma"",5],[""tumor"",4],[""neutrophil"",3],[""lymphocyte"",2],[""histiocyte"",2],[""plasma_cell"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,tumor,71,70,0.7857142857142857,0.7746478873239436,0.7801418439716312,55,15,16,"[[""plasma_cell"",5],[""epithelium"",5],[""melanophage"",2],[""neutrophil"",2],[""apoptosis"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,lymphocyte,37,26,0.8076923076923077,0.5675675675675675,0.6666666666666666,21,5,16,"[[""plasma_cell"",4],[""melanophage"",4],[""histiocyte"",3],[""tumor"",1],[""neutrophil"",1],[""epithelium"",1],[""endothelium"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,plasma_cell,24,36,0.5,0.75,0.6,18,18,6,"[[""lymphocyte"",2],[""tumor"",1],[""histiocyte"",1],[""melanophage"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,histiocyte,24,28,0.5714285714285714,0.6666666666666666,0.6153846153846154,16,12,8,"[[""plasma_cell"",3],[""tumor"",1],[""lymphocyte"",1],[""melanophage"",1],[""neutrophil"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,melanophage,24,33,0.5757575757575758,0.7916666666666666,0.6666666666666666,19,14,5,"[[""tumor"",2],[""plasma_cell"",1],[""histiocyte"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,neutrophil,24,29,0.7931034482758621,0.9583333333333334,0.8679245283018868,23,6,1,"[[""histiocyte"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,stroma,24,7,1.0,0.2916666666666667,0.45161290322580644,7,0,17,"[[""tumor"",4],[""melanophage"",4],[""histiocyte"",3],[""plasma_cell"",2],[""lymphocyte"",1],[""neutrophil"",1],[""epithelium"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,train,epithelium,24,32,0.6875,0.9166666666666666,0.7857142857142857,22,10,2,"[[""tumor"",2]]"
