run_id,seed,representation,tier_a,adaptation,epochs_run,score,config_sha256,checkpoint_sha256
p6_D_control_optimizer_hpo_009_cv1,17,cls,True,frozen,11,0.26051924683503624,a0923b90ecb69f2c411059776699683df4d05417dbc43b967c2cc9c191a976cd,49f6ff4cee56e8fb53ac2e3f65264cad10ea0a11f57261d236bcbd3cbc62ebf9
p6_D_control_optimizer_hpo_009_cv2,17,cls,True,frozen,13,0.22816263446698226,e29c35ed93d7fe96197e5eab68d571b206b775e0248f7be116db71e78d115edb,ab573d69420cff4133fbb407a1f29d3c38784c1fed7b9e7d16164b81ed281fdb
p6_D_control_optimizer_hpo_010_cv0,17,cls,True,frozen,20,0.22939056039822195,764d94205a646592a7a3e214bd52a0c22d29e08a303cf5afffee40e576e3428f,9a773945edd2a16b8ec4fbe680ff115df706b71bf10249c260d0bd1635347e64
p6_D_control_optimizer_hpo_010_cv1,17,cls,True,frozen,20,0.24677186041679366,d2f5da255a02c550c9794cc17c332d1396bff101ec3a2e2e4d476d1ad22b1887,0ece327854e876666259f6be8f3af790a4e67f8bd834eb5d555e2adf1cedb249
p6_D_control_optimizer_hpo_010_cv2,17,cls,True,frozen,20,0.22668367864020036,aceeb3244b8ce6ca53e003410711b1943fb196fab1be9d9102dd72833a2fdb34,19cbf4557a5370bbd9a7b6c57828af64b45e3d27a84d86b2961e087ecaf09b22
p6_D_control_optimizer_hpo_011_cv0,17,cls,True,frozen,20,0.24142031069338726,45eeaa3adcf555f073d3602c738a82e1765736a8f44e1f84f6f5680606c523f6,1a760c13918444c58fb932a1278858cf812014f0a3ed678d857e1871938c4152
p6_D_control_optimizer_hpo_011_cv1,17,cls,True,frozen,20,0.2668394244317261,67a78d59a99a2205b19086f28e5d318807ff071e0a98074f95aaf4531f76c316,68212297002c2eb4eeb649ea6d87e9dd90936d91295da888d0a8073859ab56df
p6_D_control_optimizer_hpo_011_cv2,17,cls,True,frozen,20,0.23078098230272137,0adbd5ef008db32bbaf8a1c9278364f4d10fef549cbcc190529e6932497b1686,a0d579236cfbc58932ec2fedcd82965f1b32c281e0525156d82b84554affaaf8
p6_D_selected_optimizer_regularization_hpo_000_cv0,17,cls,True,frozen,20,0.21678934947365563,225424a3d881b1664dcb197ae2100368284f061b1690fbee89c74222a046e90b,f5efce66616d96371bd02ee77a41e80070965c07d9169f34fe0741c4e7c0bad1
p6_D_selected_optimizer_regularization_hpo_000_cv1,17,cls,True,frozen,9,0.23222473518913148,d5d0c86d97476085d0a67e5e98c574bef664aaa2dff97ed9f54466dd5223f34e,3a53e2c8c85008018ebeba2435a70aeccb18c1a1acdbd01a7cdf4c3ca925427b
p6_D_selected_optimizer_regularization_hpo_000_cv2,17,cls,True,frozen,19,0.22505508983769848,997d0fb8ba8f66f156e31220f241ee3499f2b2ea98f7171580331ae5a5887f55,2067b54d55bb6b3b0ad5e6433afd45b8b0cbf15deb45c13dd127cac888da97ca
p6_D_selected_optimizer_regularization_hpo_001_cv0,17,cls,True,frozen,15,0.2185814519362635,98789b3b9270380518ee028fb20c1aad3f1d480cfcfc10b79b36fb7cafc160f8,89a565d98219223651eff8ba2c57310e103957992e04694ed690f2fc1e30d992
p6_D_selected_optimizer_regularization_hpo_001_cv1,17,cls,True,frozen,9,0.2401553279881453,89cea9223e77ea698589de77d0f9b760bda4550ed59965ef239523516a2b45f4,079528fbbcb57ca1a1aa655a6ae8cb476998f78aee51277d9c786ae6da0eb170
p6_D_selected_optimizer_regularization_hpo_001_cv2,17,cls,True,frozen,20,0.22382709078361254,338873ebb06b8d370c13c8b71f87acd64735b3f37b3075ee94fffc6a153dc15a,2c777053af85441c8048e5f45c50c4e109629ad1fba1c300078fe6e7b9cad84c
p6_D_selected_optimizer_regularization_hpo_002_cv0,17,cls,True,frozen,20,0.2208373119828228,ffd26461fbf7d776d0befbd64695d0bc32adb47e55cffd22e94c7c927d77ca6d,49cc2d38ac64784be5de1d6654c8539bed0ee451aac150ee709d54aa77da1181
p6_D_selected_optimizer_regularization_hpo_002_cv1,17,cls,True,frozen,9,0.24076886555414467,31f7b0140e240d8e2cfca339d9383be5ccc016eac68e387c7cfabf33476fef92,7a53b357cdd9f5bfe4d3abe915c6e53972c543fedd7a031fdf11189e4e2c6d01
p6_D_selected_optimizer_regularization_hpo_002_cv2,17,cls,True,frozen,13,0.2225994536864102,46b666941b4ccc9fdb683caa32fe7b3afbb9f7d1a84d3d5b993401dfe4e2dd2a,fbb0a6f49472ccd3aac11e29ad25dbec84a14e9715c98a7fd675c54b3aeec08e
p6_D_selected_optimizer_regularization_hpo_003_cv0,17,cls,True,frozen,12,0.2294591871836454,648222cde07cf404b908dbec4ec151bc57aaaeec606e35fae12d2336d90dbe5c,d5e77053eb87c2ee27653c05b4a0fd9b36fdf8800b16e7b83f3856d7f59f91dc
p6_D_selected_optimizer_regularization_hpo_003_cv1,17,cls,True,frozen,9,0.24290879914718927,b14195020df6942b49a048b3bf7667718c7b8cec6259049406216edd42039eee,c64f2ff88f08af6fa59ba5cd92d9b9de7461c9a8acbe78aceade630e6a9efe82
p6_D_selected_optimizer_regularization_hpo_003_cv2,17,cls,True,frozen,17,0.2251486677573634,f49edc97e54c903333b944aa2ffba61aaf6da3bf01af14095db8a3875a0a4234,1c51aade1223b8427de134f95cf708c744aa3445aa656e63f20d5c6a25eb5954
p6_D_selected_optimizer_regularization_hpo_004_cv0,17,cls,True,frozen,20,0.2302379601536173,150710528588356d4c1ea78d6a43320d46e944a499b897cfbf036677866a539d,1f3984ccb7449f234503281dcbf2388faf630c95acb68a27f27fc43679fab714
p6_D_selected_optimizer_regularization_hpo_004_cv1,17,cls,True,frozen,9,0.2494957518429505,8f4ca2c86d36c9e0b77ac12ad57691065accc4d473b9128ae6ce94dd7e7c0659,78fc15850c383e7641fa8d2f3e50ab811e5ae298618ba553cffcb67296dcf086
p6_D_selected_optimizer_regularization_hpo_004_cv2,17,cls,True,frozen,13,0.24261441457093627,3a134d9b8ee38f2dfd967971b7e0384de943eae7860536e610612f503d4efe66,f1a6724b55f661021b4e07bca33d0446907e208ecd0b67439d58fec865ccfc44
p6_D_selected_optimizer_regularization_hpo_005_cv0,17,cls,True,frozen,12,0.23069284516652938,343732eaf9fb193bb1ac05b49ee3873540a35cb48268f25ccde8517c49a6e17f,05be1421c6beaafbd981df3428cff2046020bb01fcfb86aa9c166288b932544b
p6_D_selected_optimizer_regularization_hpo_005_cv1,17,cls,True,frozen,12,0.24335621929995793,895745bfe3f3aa3b9fe3750ec96b5ce193ee5ce84c89ec1ffa0f122b4cd3f564,029c282191d0f2dd18f6a7061d1d5609378a481aa274327b6b986bfbdb0256a7
p6_D_selected_optimizer_regularization_hpo_005_cv2,17,cls,True,frozen,13,0.22883848461853576,01e446521ddc437f05d445c856cb505ce257e4b48874c7efc43f13cf86597891,0aa7064fd96fd026a699228fd05b5bcfff42d6f62e61fe1c610b4d53954cdc09
p6_D_selected_optimizer_regularization_hpo_006_cv0,17,cls,True,frozen,20,0.22239573055362533,61ce3814a74377a1ef37b88f8217f3ddfd2c9a3fbba6eb5185a86b10884014ca,c7a5c3c22abb0ab040dc5835e96f5ddc9428e2961eec451122c3de8715a867ba
