prompt,experiment_group,scenario_id,run_id,seed,fold,phase,epoch,split,objective,nll,macro_precision,macro_recall,macro_f1,balanced_accuracy_fixed10,accuracy,ece15,roi_macro_precision,roi_macro_recall,roi_macro_f1,pooled_macro_f1,lr,grad_norm_mean,draws,unique_nuclei,unique_groups,repeat_fraction,best_so_far,minimum_delta_pass,patience_counter,selected,checkpoint_saved,source_sha256
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,1,dev,NOT APPLICABLE,1.884965419769287,0.42426318263415136,0.4078627352990171,0.3990029028638814,0.4078627352990171,0.44,0.19422564784685772,0.13485119047619049,0.15892857142857145,0.14000850340136056,0.3976801515411301,[0.001],3.217061726252238,900,558,61,0.38,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,False,False,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,2,train,0.32194474352730645,0.34120234847068787,0.9239516793681426,0.9335707186059299,0.9273920856117691,0.9335707186059299,0.9222222222222223,0.11653452919589148,0.5219272389566341,0.516211017610712,0.5120467398239819,0.9267485258066758,[0.001],3.044164705276489,900,549,61,0.39,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,False,False,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,2,dev,NOT APPLICABLE,1.9086631536483765,0.41185642957448226,0.3835332333833083,0.3782028525763098,0.3835332333833083,0.4266666666666667,0.23754834347301057,0.12392857142857143,0.1494047619047619,0.13060374149659865,0.3766155509890082,[0.001],3.044164705276489,900,549,61,0.39,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,False,False,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,3,train,0.2829740387863583,0.31120792031288147,0.9388079470838022,0.9491112591464704,0.9432926420627558,0.9491112591464704,0.9377777777777778,0.1172877926296658,0.5276594479887301,0.5276586419508064,0.5227096772829656,0.9413068003784677,[0.001],2.9128448009490966,900,538,61,0.40222222222222226,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,False,False,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,3,dev,NOT APPLICABLE,1.9883692264556885,0.4090397100708743,0.38270864567716145,0.3827228094153655,0.38270864567716145,0.4177777777777778,0.24529630780220033,0.1211011904761905,0.14583333333333331,0.12780612244897957,0.3811580867980112,[0.001],2.9128448009490966,900,538,61,0.40222222222222226,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,False,False,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,4,train,0.25377669095993044,0.29325371980667114,0.9435368551070555,0.9619850484287105,0.9518448801256476,0.9619850484287105,0.9444444444444444,0.11657610919740466,0.5379448279167864,0.535094239140502,0.5314081044957615,0.9498318325953587,[0.001],2.87427655061086,900,544,61,0.39555555555555555,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,False,False,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,4,dev,NOT APPLICABLE,1.9664523601531982,0.3850620748958345,0.37836081959020496,0.3730251286380124,0.37836081959020496,0.41333333333333333,0.23569043384657964,0.12050595238095241,0.14226190476190478,0.12548469387755104,0.37137347698636075,[0.001],2.87427655061086,900,544,61,0.39555555555555555,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,False,False,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,5,train,0.2514501162370046,0.2839709222316742,0.9409356019474353,0.9648944719367254,0.9516580290687033,0.9648944719367254,0.9455555555555556,0.11852313803301917,0.5389637778374353,0.5361466148004075,0.533148932124342,0.9510144692636102,[0.001],2.5116167227427164,900,540,61,0.4,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,True,True,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s29,29,NOT APPLICABLE,decoupled,5,dev,NOT APPLICABLE,1.9495254755020142,0.40149319082471707,0.4111777444611027,0.40301164843811293,0.4111777444611027,0.43555555555555553,0.21144332726796466,0.12928571428571428,0.15119047619047618,0.13441326530612246,0.4013922152397324,[0.001],2.5116167227427164,900,540,61,0.4,0.14000850340136056,NOT APPLICABLE: fixed-final cRT,NOT APPLICABLE: fixed-final cRT,True,True,8830ea69a413bf48558c3b56ea80278dec4465cca0dbde17f64e0ef70d03ac75
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,1,train,1.866007960372501,1.5455313920974731,0.603818625477248,0.5128441822103793,0.4745288695493307,0.5128441822103793,0.43222222222222223,0.049444370650582846,0.18227385116082268,0.2133427665693573,0.17120232708881378,0.47424128784998426,[0.001],6.1754473686218265,900,538,61,0.40222222222222226,0.07512755102040816,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,1,dev,NOT APPLICABLE,1.9903157949447632,0.4435602132289972,0.34406130268199236,0.29538639253258847,0.34406130268199236,0.28444444444444444,0.1198458374871148,0.06869047619047619,0.09732142857142857,0.07512755102040816,0.29396036757715177,[0.001],6.1754473686218265,900,538,61,0.40222222222222226,0.07512755102040816,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,2,train,1.2250131334198846,1.2466518878936768,0.6126243557674762,0.6067995812714122,0.5721253651325556,0.6067995812714122,0.5711111111111111,0.0342626291513443,0.2697662537826472,0.2716769869937416,0.2482487119859192,0.5717862138379903,[0.001],5.740379858016968,900,552,61,0.3866666666666667,0.10584183673469387,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,2,dev,NOT APPLICABLE,1.8479564189910889,0.3721220981747297,0.39359486923205067,0.3428444813184601,0.39359486923205067,0.37777777777777777,0.1297766708665424,0.10068452380952382,0.12514880952380952,0.10584183673469387,0.3414342249082037,[0.001],5.740379858016968,900,552,61,0.3866666666666667,0.10584183673469387,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,3,train,1.0045439304245842,0.9769381284713745,0.6810715465057421,0.7144122996235671,0.6847363615739699,0.7144122996235671,0.69,0.08282352429297236,0.34628570501521316,0.3534002500694637,0.33350203785285754,0.6843403680962155,[0.001],5.134699980417888,900,553,60,0.38555555555555554,0.13602891156462585,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,3,dev,NOT APPLICABLE,1.6948140859603882,0.4206912156912157,0.4596285190737964,0.42846925640658073,0.4596285190737964,0.4622222222222222,0.11480557971530489,0.13005952380952382,0.15610119047619048,0.13602891156462585,0.4268838905529222,[0.001],5.134699980417888,900,553,60,0.38555555555555554,0.13602891156462585,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,4,train,0.8388025335470836,0.8249972462654114,0.7392466866180541,0.7471704098464661,0.7324049488515978,0.7471704098464661,0.7388888888888889,0.08790719277328918,0.37111820512854493,0.38182679712618584,0.36038597053289356,0.7319151529332305,[0.001],4.774994627634684,900,543,61,0.3966666666666666,0.13688775510204082,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,4,dev,NOT APPLICABLE,1.6933317184448242,0.4030829283560081,0.4220806263534899,0.39758658293299776,0.4220806263534899,0.4444444444444444,0.12028160479333666,0.13241071428571427,0.15595238095238098,0.13688775510204082,0.3959823048581314,[0.001],4.774994627634684,900,543,61,0.3966666666666666,0.13688775510204082,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,5,train,0.8153277201122707,0.7918056845664978,0.7650491691314929,0.7636060356130778,0.7478187064409214,0.7636060356130778,0.7444444444444445,0.08281057049830753,0.39241735137865214,0.3967278669279225,0.37565291450613486,0.7473406334428521,[0.001],4.468339904149373,900,548,61,0.3911111111111111,0.13688775510204082,False,1,False,False,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,5,dev,NOT APPLICABLE,1.8470076322555542,0.4346632940702708,0.414184574379477,0.387524128673979,0.414184574379477,0.4266666666666667,0.17007126179006365,0.12672619047619046,0.14970238095238092,0.13119897959183674,0.38600897715882754,[0.001],4.468339904149373,900,548,61,0.3911111111111111,0.13688775510204082,False,1,False,False,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,6,train,0.6900956765810649,0.6402754783630371,0.8157048778876372,0.8124333840883136,0.8097361833684775,0.8124333840883136,0.8111111111111111,0.12102782752778796,0.42337719298245613,0.4288085976263248,0.41565904825692535,0.809208171913314,[0.001],4.385588677724202,900,548,61,0.3911111111111111,0.13688775510204082,False,2,False,False,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,6,dev,NOT APPLICABLE,1.7027733325958252,0.388898869448405,0.39098783941362647,0.38159575924309663,0.39098783941362647,0.4266666666666667,0.17448967549535965,0.12392857142857143,0.14702380952380953,0.12852040816326532,0.37991508697418896,[0.001],4.385588677724202,900,548,61,0.3911111111111111,0.13688775510204082,False,2,False,False,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,7,train,0.5747689216666751,0.6816089749336243,0.8090563626497458,0.8441975426130355,0.8137128953895564,0.8441975426130355,0.8033333333333333,0.1038202728993363,0.43709821679445593,0.4368296749096971,0.41997716482622327,0.8131538517841552,[0.001],3.9824437141418456,900,529,61,0.41222222222222227,0.13787414965986394,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,7,dev,NOT APPLICABLE,1.9309970140457153,0.4393662742944099,0.44355322338830583,0.3989760768443956,0.44355322338830583,0.44,0.1714951683415307,0.1330952380952381,0.15357142857142855,0.13787414965986394,0.39769584924837864,[0.001],3.9824437141418456,900,529,61,0.41222222222222227,0.13787414965986394,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,8,train,0.5369912057452731,0.5165621042251587,0.8680016718356054,0.8661141775578395,0.8617678233820486,0.8661141775578395,0.8611111111111112,0.1309302838312255,0.459982275629951,0.46190773892218734,0.4510656262082827,0.8611861158466988,[0.001],4.107943328221639,900,541,61,0.39888888888888885,0.13787414965986394,False,1,False,False,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,8,dev,NOT APPLICABLE,1.714117169380188,0.4036654358713182,0.40395635515575545,0.3961007933935742,0.40395635515575545,0.4533333333333333,0.15599535650677152,0.13151785714285716,0.15863095238095237,0.1376275510204082,0.3944201211246666,[0.001],4.107943328221639,900,541,61,0.39888888888888885,0.13787414965986394,False,1,False,False,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,9,train,0.4565162245432536,0.4998645484447479,0.8594056636430845,0.8880657065516221,0.8665813820585134,0.8880657065516221,0.8577777777777778,0.11064422657092414,0.47473570600619774,0.47098268037417795,0.46110138525030403,0.8660323624506703,[0.001],3.6453293482462565,900,540,61,0.4,0.14310374149659863,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,9,dev,NOT APPLICABLE,1.7751086950302124,0.43993128127910736,0.4533816425120773,0.4315353714831117,0.4533816425120773,0.4622222222222222,0.15572611490885413,0.1370238095238095,0.1613095238095238,0.14310374149659863,0.4300338699816102,[0.001],3.6453293482462565,900,540,61,0.4,0.14310374149659863,True,0,False,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
6,C,p6_C_cached_crt_noreset,p6_C_cached_crt_noreset_s43,43,NOT APPLICABLE,joint,10,train,0.40420214229159884,0.4182772934436798,0.9071089662574362,0.9169780696189148,0.9105969401400861,0.9169780696189148,0.9044444444444445,0.13674790498283176,0.5083232996820104,0.5007641011392053,0.494901340734497,0.9099809614694967,[0.001],3.5308437665303547,900,547,61,0.39222222222222225,0.15375850340136055,True,0,True,True,6a7327030cebcb05c2fdcc5861b585e922c2c1a5c4a68fdf0eb30735c98d0b0a
